t amplitude xerr yerr
0.0 0.6002951027813027 0.0008 0.008
0.03333333333333394 0.5992423217964151 0.0008 0.008
0.06666666666666606 0.5936247451540142 0.0008 0.008
0.1 0.5822726584610672 0.0008 0.008
0.1333333333333321 0.5666497889186903 0.0008 0.008
0.16666666666666605 0.546582074603804 0.0008 0.008
0.2 0.5207177337312525 0.0008 0.008
0.23333333333333212 0.4913253328336631 0.0008 0.008
0.26666666666666605 0.45790785322580935 0.0008 0.008
0.29999999999999816 0.41975146645367767 0.0008 0.008
0.3333333333333321 0.378702535885217 0.0008 0.008
0.3666666666666661 0.33434923777414555 0.0008 0.008
0.4 0.286695525520296 0.0008 0.008
0.43333333333333396 0.23646835951569614 0.0008 0.008
0.46666666666666606 0.1860943204243729 0.0008 0.008
0.5 0.1327292194197715 0.0008 0.008
0.533333333333334 0.07940054128510739 0.0008 0.008
0.5666666666666661 0.023997813547628265 0.0008 0.008
0.6 -0.03057125599656325 0.0008 0.008
0.6333333333333321 -0.0854742540246256 0.0008 0.008
0.6666666666666661 -0.1381157813683249 0.0008 0.008
0.7 -0.1899492329554632 0.0008 0.008
0.7333333333333322 -0.23981027200888866 0.0008 0.008
0.766666666666666 -0.28491159164579366 0.0008 0.008
0.7999999999999982 -0.3288637720623076 0.0008 0.008
0.8333333333333321 -0.37022881085569687 0.0008 0.008
0.8666666666666679 -0.4086458760570098 0.0008 0.008
0.9 -0.442946370552286 0.0008 0.008
0.9333333333333339 -0.4733176195164537 0.0008 0.008
0.966666666666666 -0.49912264379619226 0.0008 0.008
1.0 -0.5198945487886422 0.0008 0.008
1.0333333333333339 -0.536441740666404 0.0008 0.008
1.066666666666666 -0.5478115178728885 0.0008 0.008
1.1 -0.5539124424084096 0.0008 0.008
1.1333333333333322 -0.5559378274136026 0.0008 0.008
1.166666666666666 -0.5526546710756579 0.0008 0.008
1.2 -0.5451346931421006 0.0008 0.008
1.233333333333332 -0.5322714922684443 0.0008 0.008
1.2666666666666662 -0.514477132288556 0.0008 0.008
1.2999999999999983 -0.49178108753843597 0.0008 0.008
1.3333333333333321 -0.4652043641906637 0.0008 0.008
1.3666666666666678 -0.4337190047090869 0.0008 0.008
1.4 -0.3983119657817306 0.0008 0.008
1.433333333333334 -0.35999940558805094 0.0008 0.008
1.4666666666666661 -0.31759136603823024 0.0008 0.008
1.5 -0.27283265823834973 0.0008 0.008
1.535 -0.22613912740204534 0.0008 0.008
1.568333333333334 -0.1752813506334336 0.0008 0.008
1.6016666666666661 -0.123218791775108 0.0008 0.008
1.635 -0.06991692286147468 0.0008 0.008
1.668333333333334 -0.016534538830403015 0.0008 0.008
1.701666666666666 0.03785748723352877 0.0008 0.008
1.735 0.09265217150578693 0.0008 0.008
1.7683333333333322 0.14622949766207283 0.0008 0.008
1.801666666666666 0.1980011650038622 0.0008 0.008
1.835 0.2475916888318343 0.0008 0.008
1.868333333333332 0.2957000099798056 0.0008 0.008
1.901666666666666 0.3418810967684647 0.0008 0.008
1.935 0.38423258252370157 0.0008 0.008
1.968333333333334 0.4237238824385436 0.0008 0.008
2.001666666666668 0.45914383637489714 0.0008 0.008
2.035 0.4919372064936278 0.0008 0.008
2.068333333333334 0.5188574964414713 0.0008 0.008
2.101666666666666 0.5407332774963854 0.0008 0.008
2.135 0.5590551281216528 0.0008 0.008
2.168333333333334 0.5714843320287106 0.0008 0.008
2.201666666666666 0.5803278699202136 0.0008 0.008
2.235 0.5841580311927198 0.0008 0.008
2.268333333333332 0.5827134975813905 0.0008 0.008
2.301666666666666 0.5756771235954805 0.0008 0.008
2.335 0.5638595615831723 0.0008 0.008
2.3683333333333323 0.5473113309429081 0.0008 0.008
2.401666666666666 0.5259026691064539 0.0008 0.008
2.435 0.5001685575688523 0.0008 0.008
2.468333333333334 0.4703355053898391 0.0008 0.008
2.501666666666668 0.4367358714014583 0.0008 0.008
2.535 0.39919286417116673 0.0008 0.008
2.568333333333334 0.3583520135435299 0.0008 0.008
2.601666666666666 0.3150436912008774 0.0008 0.008
2.635 0.26797415730636887 0.0008 0.008
2.668333333333334 0.2194332799414945 0.0008 0.008
2.701666666666666 0.16908019985985262 0.0008 0.008
2.735 0.11731628095073933 0.0008 0.008
2.768333333333332 0.0654535468349309 0.0008 0.008
2.801666666666666 0.013468980171224476 0.0008 0.008
2.835 -0.04041493530449087 0.0008 0.008
2.8683333333333323 -0.09276598374055144 0.0008 0.008
2.901666666666666 -0.1441159180876663 0.0008 0.008
2.935 -0.19332798186043973 0.0008 0.008
2.968333333333334 -0.24119515693360988 0.0008 0.008
3.001666666666668 -0.28516662966523526 0.0008 0.008
3.035 -0.3274539522243186 0.0008 0.008
3.068333333333334 -0.36659650043647884 0.0008 0.008
3.101666666666666 -0.40262386102198605 0.0008 0.008
3.135 -0.4349781575444359 0.0008 0.008
3.168333333333334 -0.4638481742075845 0.0008 0.008
3.201666666666666 -0.4885472520531546 0.0008 0.008
3.235 -0.5077142279486166 0.0008 0.008
3.268333333333332 -0.5221712822653198 0.0008 0.008
3.301666666666666 -0.5324338888693595 0.0008 0.008
3.335 -0.5379871720501485 0.0008 0.008
3.3683333333333323 -0.5388923280527109 0.0008 0.008
3.4016666666666677 -0.5342519894461241 0.0008 0.008
3.435 -0.5250913633062471 0.0008 0.008
3.468333333333334 -0.5118873473728968 0.0008 0.008
3.501666666666668 -0.493539887525879 0.0008 0.008
3.535 -0.47086675934952477 0.0008 0.008
3.568333333333334 -0.4429660319536276 0.0008 0.008
3.601666666666666 -0.41146834792978515 0.0008 0.008
3.635 -0.37667456767080515 0.0008 0.008
3.668333333333334 -0.3376207368772521 0.0008 0.008
3.701666666666666 -0.29593571052084594 0.0008 0.008
3.7350000000000017 -0.2528880600138283 0.0008 0.008
3.768333333333332 -0.2069214964013279 0.0008 0.008
3.801666666666668 -0.15778443937921358 0.0008 0.008
3.835 -0.10715937817590124 0.0008 0.008
3.868333333333334 -0.054821954933438714 0.0008 0.008
3.901666666666666 -0.002452099815837438 0.0008 0.008
3.935 0.049890704843635975 0.0008 0.008
3.968333333333332 0.10231100041964415 0.0008 0.008
4.001666666666668 0.1534862687482859 0.0008 0.008
4.035 0.2036479250976329 0.0008 0.008
4.0683333333333325 0.2513299389027392 0.0008 0.008
4.101666666666664 0.2977543427244161 0.0008 0.008
4.135 0.3410532724816804 0.0008 0.008
4.168333333333336 0.38127659779176626 0.0008 0.008
4.201666666666668 0.4186012165277586 0.0008 0.008
4.235 0.4528017561749801 0.0008 0.008
4.268333333333332 0.4827240403612895 0.0008 0.008
4.301666666666668 0.5077964214272567 0.0008 0.008
4.335 0.5277980482657497 0.0008 0.008
4.368333333333336 0.5445862317241327 0.0008 0.008
4.401666666666665 0.5562036705937937 0.0008 0.008
4.435 0.5636308052215281 0.0008 0.008
4.468333333333332 0.5653607722348832 0.0008 0.008
4.501666666666668 0.5619519246749077 0.0008 0.008
4.535 0.5544437809186289 0.0008 0.008
4.5683333333333325 0.5416152041510215 0.0008 0.008
4.601666666666664 0.5237835391568109 0.0008 0.008
