t amplitude xerr yerr
2.235 0.5841580311927198 0.0008 0.008
4.468333333333332 0.5653607722348832 0.0008 0.008
6.703333333333336 0.546751939681899 0.0008 0.008
8.903333333333336 0.5327822533087373 0.0008 0.008
11.138333333333332 0.5175974345407854 0.0008 0.008
13.338333333333333 0.5037573094501996 0.0008 0.008
15.573333333333332 0.48924242676064955 0.0008 0.008
17.775 0.47885093380565935 0.0008 0.008
19.975000000000005 0.4648065619681625 0.0008 0.008
22.210000000000004 0.4539738386294546 0.0008 0.008
24.409999999999997 0.44394952020965794 0.0008 0.008
26.611666666666668 0.4323032304198006 0.0008 0.008
28.811666666666667 0.42189869768150334 0.0008 0.008
31.01333333333334 0.4110412666832925 0.0008 0.008
33.21333333333333 0.4014578854530339 0.0008 0.008
35.415 0.3946724655148303 0.0008 0.008
37.616666666666674 0.38599003558188066 0.0008 0.008
39.81666666666667 0.37787079654502337 0.0008 0.008
42.01833333333333 0.369788207844699 0.0008 0.008
44.21833333333333 0.36318376558569004 0.0008 0.008
46.42 0.3551749667766871 0.0008 0.008
48.62 0.3452709430487915 0.0008 0.008
50.82166666666667 0.3396331153727569 0.0008 0.008
53.021666666666654 0.33347616820691567 0.0008 0.008
55.22333333333333 0.32717372520909976 0.0008 0.008
57.39166666666666 0.32239952288819146 0.0008 0.008
59.59166666666667 0.3176478933502182 0.0008 0.008
61.79333333333333 0.3119964144688914 0.0008 0.008
63.99333333333335 0.3063422040160432 0.0008 0.008
66.195 0.2997253685570311 0.0008 0.008
68.395 0.294783957399119 0.0008 0.008
70.56333333333333 0.29012451068318135 0.0008 0.008
72.76333333333334 0.28717851814951284 0.0008 0.008
74.965 0.28048150137797834 0.0008 0.008
77.13333333333334 0.2769596068906312 0.0008 0.008
79.33333333333334 0.272428719465539 0.0008 0.008
81.535 0.2675662592170092 0.0008 0.008
83.70166666666667 0.26248256031985856 0.0008 0.008
85.90333333333332 0.25881925784172616 0.0008 0.008
88.10333333333334 0.25330657787589117 0.0008 0.008
90.305 0.2499055107835382 0.0008 0.008
92.47166666666666 0.2474223822601606 0.0008 0.008
94.67333333333333 0.2431125894416042 0.0008 0.008
96.84166666666667 0.23980778539488212 0.0008 0.008
99.04166666666667 0.23646523285050458 0.0008 0.008
101.24333333333334 0.2320107947432196 0.0008 0.008
103.41000000000001 0.22995158308341634 0.0008 0.008
105.61166666666665 0.22665790698941263 0.0008 0.008
107.77833333333332 0.22537215698783283 0.0008 0.008
109.98 0.22302702168526253 0.0008 0.008
112.18 0.22067944902052244 0.0008 0.008
114.38166666666667 0.21766004529634378 0.0008 0.008
116.55000000000001 0.21498634231057775 0.0008 0.008
118.74999999999999 0.21284297215482628 0.0008 0.008
120.91833333333335 0.21081714511115 0.0008 0.008
123.11833333333333 0.2085287927165843 0.0008 0.008
125.28666666666668 0.20597003301466463 0.0008 0.008
127.45333333333336 0.20363741601387045 0.0008 0.008
129.68833333333333 0.20095938346270703 0.0008 0.008
131.85500000000002 0.19823429468066747 0.0008 0.008
134.05666666666667 0.19692011169310264 0.0008 0.008
136.22333333333333 0.19381602593868463 0.0008 0.008
138.42500000000004 0.1913093797381461 0.0008 0.008
140.59333333333333 0.18786198444501687 0.0008 0.008
142.76000000000002 0.1861735154409481 0.0008 0.008
144.96166666666667 0.1831867887233592 0.0008 0.008
147.1616666666667 0.18104067724497686 0.0008 0.008
149.36333333333334 0.18006919800878757 0.0008 0.008
151.53 0.17748391379509373 0.0008 0.008
153.73166666666668 0.17570882150608713 0.0008 0.008
155.89833333333334 0.17419873490911716 0.0008 0.008
158.1 0.17199040715462544 0.0008 0.008
160.26833333333337 0.16958918939387704 0.0008 0.008
162.46833333333333 0.16839618847466883 0.0008 0.008
164.63666666666668 0.16603958594047066 0.0008 0.008
166.83666666666667 0.16628870474505003 0.0008 0.008
169.005 0.16379550411973942 0.0008 0.008
171.20500000000004 0.16474864384520976 0.0008 0.008
173.37333333333333 0.1624593526784587 0.0008 0.008
175.57333333333338 0.16139868872854687 0.0008 0.008
177.74166666666667 0.1610213258116456 0.0008 0.008
179.9416666666667 0.15769698474068305 0.0008 0.008
182.11000000000004 0.15843417722730024 0.0008 0.008
184.3116666666667 0.1549172216945098 0.0008 0.008
186.47833333333338 0.1546474128645477 0.0008 0.008
188.68000000000004 0.15184216728586075 0.0008 0.008
190.8466666666667 0.15137041881172553 0.0008 0.008
193.04833333333337 0.1494933757635899 0.0008 0.008
195.24833333333333 0.1487521946750421 0.0008 0.008
197.41666666666669 0.1461266290215529 0.0008 0.008
199.58333333333334 0.14530639121035024 0.0008 0.008
201.785 0.14297859623441836 0.0008 0.008
203.98666666666668 0.14174915420116171 0.0008 0.008
206.15333333333334 0.13963233635031147 0.0008 0.008
208.35500000000002 0.13928053434275683 0.0008 0.008
210.48833333333334 0.13757349746186223 0.0008 0.008
212.7233333333334 0.13701436896903849 0.0008 0.008
214.85666666666668 0.13609827265486904 0.0008 0.008
214.92333333333337 0.13577498183979356 0.0008 0.008
217.0916666666667 0.13564777409374248 0.0008 0.008
219.22500000000002 0.13369854143898108 0.0008 0.008
219.29166666666669 0.13350848502372908 0.0008 0.008
221.46000000000004 0.13341249894802218 0.0008 0.008
223.595 0.13134649766648027 0.0008 0.008
223.66166666666672 0.13115383767861383 0.0008 0.008
225.82833333333338 0.13207317352404035 0.0008 0.008
227.9966666666667 0.13125312077545048 0.0008 0.008
230.1966666666667 0.1296555514178469 0.0008 0.008
232.36500000000004 0.1299918916505167 0.0008 0.008
234.56500000000003 0.12834031042676336 0.0008 0.008
