t amplitude xerr yerr
1.200 0.274 0.0008 0.008
3.635 0.269 0.0008 0.008
6.035 0.263 0.0008 0.008
8.470 0.259 0.0008 0.008
10.90 0.253 0.0008 0.008
13.34 0.250 0.0008 0.008
15.74 0.245 0.0008 0.008
18.17 0.240 0.0008 0.008
20.61 0.236 0.0008 0.008
23.01 0.231 0.0008 0.008
25.41 0.227 0.0008 0.008
27.85 0.223 0.0008 0.008
30.28 0.221 0.0008 0.008
32.71 0.217 0.0008 0.008
35.12 0.213 0.0008 0.008
37.55 0.208 0.0008 0.008
39.95 0.205 0.0008 0.008
42.38 0.203 0.0008 0.008
44.82 0.200 0.0008 0.008
47.22 0.196 0.0008 0.008
49.65 0.193 0.0008 0.008
52.06 0.191 0.0008 0.008
54.49 0.188 0.0008 0.008
56.89 0.184 0.0008 0.008
59.33 0.182 0.0008 0.008
61.76 0.180 0.0008 0.008
64.16 0.176 0.0008 0.008
66.56 0.174 0.0008 0.008
69.00 0.172 0.0008 0.008
71.43 0.169 0.0008 0.008
73.83 0.167 0.0008 0.008
76.27 0.166 0.0008 0.008
78.67 0.163 0.0008 0.008
81.10 0.159 0.0008 0.008
83.50 0.158 0.0008 0.008
85.94 0.156 0.0008 0.008
88.34 0.154 0.0008 0.008
90.77 0.152 0.0008 0.008
93.17 0.151 0.0008 0.008
95.61 0.147 0.0008 0.008
98.04 0.147 0.0008 0.008
100.4 0.144 0.0008 0.008
102.9 0.143 0.0008 0.008
105.3 0.141 0.0008 0.008
107.7 0.140 0.0008 0.008
110.1 0.138 0.0008 0.008
112.5 0.136 0.0008 0.008
114.9 0.134 0.0008 0.008
117.4 0.134 0.0008 0.008
119.8 0.132 0.0008 0.008
122.2 0.130 0.0008 0.008
124.6 0.129 0.0008 0.008
127.0 0.126 0.0008 0.008
129.5 0.125 0.0008 0.008
131.9 0.124 0.0008 0.008
134.3 0.122 0.0008 0.008
136.7 0.121 0.0008 0.008
139.1 0.121 0.0008 0.008
