mass_C
t	x	y	func
1.9666666666666661	0.29251119097193956	-0.9475795292642633	-0.29941284271582025
2.0	0.2916875084715709	-0.9474829859699014	-0.2986476754266229
2.033333333333336	0.28809839442811813	-0.9487900921987575	-0.29480038827609256
2.0666666666666678	0.2813781353995731	-0.9508381461826279	-0.2877153943857331
2.100000000000002	0.27255567647305634	-0.9540263311485766	-0.27827710323650484
2.1333333333333337	0.26002901959981906	-0.9577170182180763	-0.26511799146229786
2.166666666666668	0.24565193440960997	-0.9619962273423641	-0.2500136324973261
2.201666666666668	0.22845964129216767	-0.9660945609445315	-0.23221168870816133
2.2350000000000017	0.2079703722275763	-0.9710187135169805	-0.21098987904838337
2.268333333333334	0.1859199811298058	-0.9753495183054623	-0.18835914441525503
2.301666666666668	0.16199845597353701	-0.9800436749353254	-0.16381590893855913
2.3350000000000017	0.1370675119306295	-0.9840117813835081	-0.13840401913447375
2.368333333333334	0.10987891536864591	-0.9879219018399235	-0.11076702198996814
2.4016666666666677	0.08199222975474851	-0.9903402165324202	-0.0826035903520182
2.435	0.05224655461791261	-0.9922047280311839	-0.052608442813194226
2.468333333333334	0.023199989814687738	-0.9936075508740034	-0.023345006847757737
2.501666666666668	-0.005601939843599135	-0.9942537305528341	0.005634256522010023
2.535	-0.03271916016418974	-0.9936406934601885	0.03291666935351208
2.568333333333334	-0.05988175699192	-0.9926766641841223	0.060250514791267876
2.601666666666668	-0.087811667789854	-0.9903252127437836	0.08843823501277372
2.635000000000002	-0.11380821441003164	-0.98811372329522	0.11467195279374531
2.6683333333333357	-0.1378863719007315	-0.9847096455831126	0.13912285497745086
2.701666666666668	-0.16080122056219065	-0.9804196777539511	0.16256527599116363
2.7350000000000017	-0.18223073098780612	-0.9768633272686489	0.1844269672869194
2.768333333333334	-0.20103914467766687	-0.9731894600101207	0.20371210283980393
2.801666666666668	-0.2175363134386354	-0.9696117430328459	0.2206995249592616
2.8350000000000017	-0.2314395376239805	-0.9673266882622258	0.23484218768713064
2.868333333333334	-0.24258405376831604	-0.9653099154166043	0.24620344700937977
2.9016666666666677	-0.25113545438991736	-0.9626886764452003	0.255181688352338
2.935	-0.2575494129244142	-0.9605903878690247	0.2619547822744999
