t	func 0.0008 0.008
0.0	-0.29121736612287175 0.0008 0.008
0.03333333333333212	-0.28871628635746505 0.0008 0.008
0.06666666666666424	-0.28190479489758763 0.0008 0.008
0.09999999999999636	-0.27469985148589166 0.0008 0.008
0.1333333333333321	-0.26514041093237994 0.0008 0.008
0.16666666666666424	-0.25354029875964657 0.0008 0.008
0.2	-0.23533268621884798 0.0008 0.008
0.23333333333332848	-0.21774815894128383 0.0008 0.008
0.2666666666666642	-0.197409010210464 0.0008 0.008
0.2999999999999964	-0.17645396626282073 0.0008 0.008
0.3333333333333321	-0.15405904807582108 0.0008 0.008
0.36666666666666425	-0.12877651929898903 0.0008 0.008
0.39999999999999636	-0.10312977968209347 0.0008 0.008
0.43333333333332846	-0.076931336631363 0.0008 0.008
0.46666666666666423	-0.05041774219015529 0.0008 0.008
0.5	-0.023848601636431516 0.0008 0.008
0.5333333333333321	0.0036489541506679463 0.0008 0.008
0.5666666666666642	0.02986483251798069 0.0008 0.008
0.5999999999999963	0.056802009432199235 0.0008 0.008
0.6333333333333321	0.0821035418535427 0.0008 0.008
0.6666666666666642	0.10652622071276996 0.0008 0.008
0.7	0.1302439526094985 0.0008 0.008
0.7333333333333285	0.15214425235929596 0.0008 0.008
0.7666666666666643	0.17308994967441937 0.0008 0.008
0.7999999999999964	0.19195864016852532 0.0008 0.008
0.8333333333333321	0.2089857106609834 0.0008 0.008
0.8666666666666643	0.22395879765612542 0.0008 0.008
0.8999999999999964	0.23716860212588192 0.0008 0.008
0.9333333333333285	0.2473659520713931 0.0008 0.008
0.9666666666666642	0.2552605528929681 0.0008 0.008
1.0	0.260689918267685 0.0008 0.008
1.033333333333332	0.26352969775814594 0.0008 0.008
1.0666666666666642	0.2643687207960549 0.0008 0.008
1.0999999999999963	0.26263591650537643 0.0008 0.008
1.1333333333333322	0.2581845581257257 0.0008 0.008
1.1666666666666643	0.25138624206896515 0.0008 0.008
1.2	0.24224069063184556 0.0008 0.008
1.2333333333333285	0.2302156263314577 0.0008 0.008
1.2666666666666642	0.21584903836949185 0.0008 0.008
1.2999999999999963	0.1997025396104966 0.0008 0.008
1.3333333333333321	0.181737659911701 0.0008 0.008
1.3666666666666643	0.16190451117825286 0.0008 0.008
1.3999999999999964	0.14023947132664427 0.0008 0.008
1.4333333333333285	0.11717625927594706 0.0008 0.008
1.4666666666666643	0.09287523236080401 0.0008 0.008
1.5	0.06713403474661979 0.0008 0.008
1.533333333333332	0.040634201997000165 0.0008 0.008
1.5666666666666642	0.014058753587535392 0.0008 0.008
