length Q xerr yerr
1.474 211.5157383457812 0.0005 5.19057026615414
1.301 209.07271600072178 0.0005 5.501913578966362
1.147 244.24859085172042 0.0005 5.8502656491430045
1.003 230.40421840004433 0.0005 4.670355778379277
0.887 283.0412770094071 0.0005 6.620848585015371
0.747 291.3211275795915 0.0005 7.193114261224482
0.614 358.30388802756937 0.0005 7.918317967460096
0.495 360.0427639334214 0.0005 6.586148120733317
