t	amplitude xerr yerr
5.802	0.209 0.0008 0.008
5.835	0.222 0.0008 0.008
5.868	0.233 0.0008 0.008
5.902	0.243 0.0008 0.008
5.935	0.250 0.0008 0.008
5.968	0.256 0.0008 0.008
6.002	0.261 0.0008 0.008
6.035	0.263 0.0008 0.008
6.068	0.263 0.0008 0.008
6.102	0.261 0.0008 0.008
6.135	0.258 0.0008 0.008
6.168	0.253 0.0008 0.008
6.202	0.246 0.0008 0.008
6.235	0.237 0.0008 0.008
6.268	0.226 0.0008 0.008
6.302	0.214 0.0008 0.008
6.335	0.200 0.0008 0.008
6.368	0.185 0.0008 0.008
6.402	0.168 0.0008 0.008
6.435	0.149 0.0008 0.008
6.468	0.130 0.0008 0.008
6.502	0.109 0.0008 0.008
6.535	8.799E-2 0.0008 0.008
6.568	6.674E-2 0.0008 0.008
6.602	4.391E-2 0.0008 0.008
6.635	2.120E-2 0.0008 0.008
6.668	-1.549E-3 0.0008 0.008
6.702	-2.413E-2 0.0008 0.008
6.735	-4.721E-2 0.0008 0.008
6.768	-7.004E-2 0.0008 0.008
6.802	-9.222E-2 0.0008 0.008
6.835	-0.113 0.0008 0.008
6.868	-0.134 0.0008 0.008
6.902	-0.153 0.0008 0.008
6.935	-0.172 0.0008 0.008
6.968	-0.189 0.0008 0.008
7.002	-0.205 0.0008 0.008
7.035	-0.219 0.0008 0.008
7.068	-0.232 0.0008 0.008
7.102	-0.242 0.0008 0.008
7.135	-0.252 0.0008 0.008
7.168	-0.258 0.0008 0.008
7.202	-0.263 0.0008 0.008
7.235	-0.266 0.0008 0.008
7.270	-0.267 0.0008 0.008
7.302	-0.266 0.0008 0.008
7.337	-0.263 0.0008 0.008
7.370	-0.259 0.0008 0.008
7.403	-0.252 0.0008 0.008
7.437	-0.243 0.0008 0.008
7.470	-0.232 0.0008 0.008
7.503	-0.220 0.0008 0.008
7.537	-0.206 0.0008 0.008
7.570	-0.190 0.0008 0.008
7.603	-0.173 0.0008 0.008
7.637	-0.155 0.0008 0.008
7.670	-0.136 0.0008 0.008
7.703	-0.115 0.0008 0.008
7.737	-9.376E-2 0.0008 0.008
7.770	-7.192E-2 0.0008 0.008
7.803	-4.993E-2 0.0008 0.008
7.837	-2.717E-2 0.0008 0.008
7.870	-4.537E-3 0.0008 0.008
7.903	1.809E-2 0.0008 0.008
7.937	4.030E-2 0.0008 0.008
7.970	6.282E-2 0.0008 0.008
8.003	8.439E-2 0.0008 0.008
8.037	0.105 0.0008 0.008
8.070	0.125 0.0008 0.008
8.103	0.145 0.0008 0.008
8.137	0.162 0.0008 0.008
8.170	0.179 0.0008 0.008
8.203	0.195 0.0008 0.008
8.237	0.209 0.0008 0.008
8.270	0.221 0.0008 0.008
8.303	0.232 0.0008 0.008
8.337	0.241 0.0008 0.008
8.370	0.248 0.0008 0.008
8.403	0.253 0.0008 0.008
8.437	0.257 0.0008 0.008
8.470	0.259 0.0008 0.008
8.503	0.259 0.0008 0.008
8.537	0.257 0.0008 0.008
8.570	0.253 0.0008 0.008
8.603	0.248 0.0008 0.008
8.637	0.240 0.0008 0.008
8.670	0.230 0.0008 0.008
8.703	0.219 0.0008 0.008
8.737	0.207 0.0008 0.008
8.770	0.193 0.0008 0.008
8.803	0.178 0.0008 0.008
8.837	0.161 0.0008 0.008
8.870	0.142 0.0008 0.008
8.903	0.123 0.0008 0.008
8.937	0.102 0.0008 0.008
8.970	8.128E-2 0.0008 0.008
9.003	5.988E-2 0.0008 0.008
9.037	3.797E-2 0.0008 0.008
9.070	1.519E-2 0.0008 0.008
9.103	-7.385E-3 0.0008 0.008
9.137	-3.008E-2 0.0008 0.008
9.170	-5.234E-2 0.0008 0.008
9.203	-7.417E-2 0.0008 0.008
9.237	-9.559E-2 0.0008 0.008
9.270	-0.117 0.0008 0.008
9.303	-0.136 0.0008 0.008
9.337	-0.155 0.0008 0.008
9.370	-0.173 0.0008 0.008
9.403	-0.189 0.0008 0.008
9.437	-0.204 0.0008 0.008
9.470	-0.218 0.0008 0.008
9.503	-0.230 0.0008 0.008
9.537	-0.240 0.0008 0.008
9.570	-0.248 0.0008 0.008
9.603	-0.254 0.0008 0.008
9.637	-0.259 0.0008 0.008
9.670	-0.262 0.0008 0.008
9.703	-0.262 0.0008 0.008
9.737	-0.261 0.0008 0.008
9.770	-0.257 0.0008 0.008
9.803	-0.252 0.0008 0.008
9.837	-0.245 0.0008 0.008
9.870	-0.235 0.0008 0.008
9.903	-0.225 0.0008 0.008
9.937	-0.212 0.0008 0.008
9.970	-0.197 0.0008 0.008
10.00	-0.181 0.0008 0.008
10.04	-0.164 0.0008 0.008
10.07	-0.146 0.0008 0.008
10.10	-0.127 0.0008 0.008
10.14	-0.107 0.0008 0.008
10.17	-8.597E-2 0.0008 0.008
10.20	-6.422E-2 0.0008 0.008
10.24	-4.309E-2 0.0008 0.008
10.27	-2.043E-2 0.0008 0.008
10.30	1.708E-3 0.0008 0.008
10.34	2.387E-2 0.0008 0.008
10.37	4.574E-2 0.0008 0.008
10.40	6.745E-2 0.0008 0.008
10.44	8.848E-2 0.0008 0.008
10.47	0.109 0.0008 0.008
10.50	0.129 0.0008 0.008
10.54	0.147 0.0008 0.008
10.57	0.164 0.0008 0.008
10.60	0.180 0.0008 0.008
10.64	0.195 0.0008 0.008
10.67	0.208 0.0008 0.008
10.70	0.220 0.0008 0.008
10.74	0.230 0.0008 0.008
10.77	0.238 0.0008 0.008
10.80	0.245 0.0008 0.008
10.84	0.249 0.0008 0.008
10.87	0.252 0.0008 0.008
10.90	0.253 0.0008 0.008
10.94	0.253 0.0008 0.008
10.97	0.250 0.0008 0.008
11.00	0.245 0.0008 0.008
11.04	0.240 0.0008 0.008
11.07	0.232 0.0008 0.008
11.10	0.222 0.0008 0.008
11.14	0.211 0.0008 0.008
11.17	0.198 0.0008 0.008
11.20	0.184 0.0008 0.008
11.24	0.168 0.0008 0.008
11.27	0.151 0.0008 0.008
11.31	0.133 0.0008 0.008
11.34	0.114 0.0008 0.008
11.37	9.373E-2 0.0008 0.008
11.41	7.270E-2 0.0008 0.008
11.44	5.161E-2 0.0008 0.008
11.47	2.960E-2 0.0008 0.008
11.51	7.846E-3 0.0008 0.008
11.54	-1.437E-2 0.0008 0.008
11.57	-3.675E-2 0.0008 0.008
11.61	-5.807E-2 0.0008 0.008
11.64	-8.001E-2 0.0008 0.008
11.67	-0.101 0.0008 0.008
11.71	-0.121 0.0008 0.008
11.74	-0.140 0.0008 0.008
11.77	-0.158 0.0008 0.008
11.81	-0.175 0.0008 0.008
11.84	-0.191 0.0008 0.008
11.87	-0.205 0.0008 0.008
11.91	-0.218 0.0008 0.008
11.94	-0.229 0.0008 0.008
11.97	-0.238 0.0008 0.008
12.01	-0.246 0.0008 0.008
12.04	-0.252 0.0008 0.008
12.07	-0.255 0.0008 0.008
12.11	-0.257 0.0008 0.008
12.14	-0.257 0.0008 0.008
