t	amplitude xerr yerr
25.38	0.224 0.0008 0.008
25.41	0.227 0.0008 0.008
25.44	0.227 0.0008 0.008
25.48	0.226 0.0008 0.008
25.51	0.224 0.0008 0.008
25.54	0.220 0.0008 0.008
25.58	0.214 0.0008 0.008
25.61	0.207 0.0008 0.008
25.64	0.199 0.0008 0.008
25.68	0.189 0.0008 0.008
25.71	0.177 0.0008 0.008
25.74	0.165 0.0008 0.008
25.78	0.150 0.0008 0.008
25.81	0.135 0.0008 0.008
25.84	0.118 0.0008 0.008
25.88	0.101 0.0008 0.008
25.91	8.288E-2 0.0008 0.008
25.94	6.382E-2 0.0008 0.008
25.98	4.477E-2 0.0008 0.008
26.01	2.512E-2 0.0008 0.008
26.04	5.430E-3 0.0008 0.008
26.08	-1.436E-2 0.0008 0.008
26.11	-3.393E-2 0.0008 0.008
26.14	-5.328E-2 0.0008 0.008
26.18	-7.272E-2 0.0008 0.008
26.21	-9.112E-2 0.0008 0.008
26.24	-0.110 0.0008 0.008
26.28	-0.126 0.0008 0.008
26.31	-0.142 0.0008 0.008
26.34	-0.158 0.0008 0.008
26.38	-0.171 0.0008 0.008
26.41	-0.184 0.0008 0.008
26.44	-0.195 0.0008 0.008
26.48	-0.205 0.0008 0.008
26.51	-0.213 0.0008 0.008
26.54	-0.220 0.0008 0.008
26.58	-0.224 0.0008 0.008
26.61	-0.228 0.0008 0.008
26.64	-0.229 0.0008 0.008
26.68	-0.229 0.0008 0.008
26.71	-0.227 0.0008 0.008
26.74	-0.223 0.0008 0.008
26.78	-0.218 0.0008 0.008
26.81	-0.211 0.0008 0.008
26.84	-0.202 0.0008 0.008
26.88	-0.192 0.0008 0.008
26.91	-0.181 0.0008 0.008
26.94	-0.168 0.0008 0.008
26.98	-0.154 0.0008 0.008
27.01	-0.138 0.0008 0.008
27.04	-0.122 0.0008 0.008
27.08	-0.105 0.0008 0.008
27.11	-8.650E-2 0.0008 0.008
27.15	-6.786E-2 0.0008 0.008
27.18	-4.912E-2 0.0008 0.008
27.21	-2.986E-2 0.0008 0.008
27.25	-1.042E-2 0.0008 0.008
27.28	9.226E-3 0.0008 0.008
27.31	2.888E-2 0.0008 0.008
27.35	4.781E-2 0.0008 0.008
27.38	6.693E-2 0.0008 0.008
27.41	8.531E-2 0.0008 0.008
27.44	0.103 0.0008 0.008
27.48	0.119 0.0008 0.008
27.51	0.135 0.0008 0.008
27.54	0.151 0.0008 0.008
27.58	0.164 0.0008 0.008
27.61	0.177 0.0008 0.008
27.65	0.188 0.0008 0.008
27.68	0.198 0.0008 0.008
27.71	0.206 0.0008 0.008
27.75	0.213 0.0008 0.008
27.78	0.218 0.0008 0.008
27.81	0.222 0.0008 0.008
27.85	0.223 0.0008 0.008
27.88	0.223 0.0008 0.008
27.91	0.222 0.0008 0.008
27.94	0.219 0.0008 0.008
27.98	0.215 0.0008 0.008
28.01	0.208 0.0008 0.008
28.04	0.201 0.0008 0.008
28.08	0.191 0.0008 0.008
28.11	0.181 0.0008 0.008
28.15	0.169 0.0008 0.008
28.18	0.156 0.0008 0.008
28.21	0.141 0.0008 0.008
28.25	0.126 0.0008 0.008
28.28	0.109 0.0008 0.008
28.31	9.176E-2 0.0008 0.008
28.35	7.371E-2 0.0008 0.008
28.38	5.515E-2 0.0008 0.008
28.41	3.645E-2 0.0008 0.008
28.44	1.689E-2 0.0008 0.008
28.48	-2.957E-3 0.0008 0.008
28.51	-2.248E-2 0.0008 0.008
28.54	-4.125E-2 0.0008 0.008
28.58	-6.040E-2 0.0008 0.008
28.61	-7.916E-2 0.0008 0.008
28.65	-9.730E-2 0.0008 0.008
28.68	-0.115 0.0008 0.008
28.71	-0.131 0.0008 0.008
28.75	-0.146 0.0008 0.008
28.78	-0.160 0.0008 0.008
28.81	-0.174 0.0008 0.008
28.85	-0.185 0.0008 0.008
28.88	-0.196 0.0008 0.008
28.91	-0.204 0.0008 0.008
28.94	-0.212 0.0008 0.008
28.98	-0.217 0.0008 0.008
29.01	-0.222 0.0008 0.008
29.04	-0.224 0.0008 0.008
29.08	-0.225 0.0008 0.008
29.11	-0.224 0.0008 0.008
29.15	-0.221 0.0008 0.008
29.18	-0.217 0.0008 0.008
29.21	-0.211 0.0008 0.008
29.25	-0.204 0.0008 0.008
29.28	-0.195 0.0008 0.008
29.31	-0.184 0.0008 0.008
29.35	-0.172 0.0008 0.008
29.38	-0.159 0.0008 0.008
29.41	-0.145 0.0008 0.008
29.44	-0.129 0.0008 0.008
29.48	-0.113 0.0008 0.008
29.51	-9.567E-2 0.0008 0.008
29.54	-7.760E-2 0.0008 0.008
29.58	-5.955E-2 0.0008 0.008
29.61	-4.086E-2 0.0008 0.008
29.65	-2.183E-2 0.0008 0.008
29.68	-2.930E-3 0.0008 0.008
29.71	1.625E-2 0.0008 0.008
29.75	3.528E-2 0.0008 0.008
29.78	5.385E-2 0.0008 0.008
29.81	7.221E-2 0.0008 0.008
29.85	8.984E-2 0.0008 0.008
29.88	0.107 0.0008 0.008
29.91	0.123 0.0008 0.008
29.94	0.138 0.0008 0.008
29.98	0.153 0.0008 0.008
30.01	0.166 0.0008 0.008
30.04	0.178 0.0008 0.008
30.08	0.188 0.0008 0.008
30.11	0.197 0.0008 0.008
30.15	0.205 0.0008 0.008
30.18	0.212 0.0008 0.008
30.21	0.216 0.0008 0.008
30.25	0.219 0.0008 0.008
30.28	0.221 0.0008 0.008
30.31	0.221 0.0008 0.008
30.35	0.219 0.0008 0.008
30.38	0.215 0.0008 0.008
30.41	0.210 0.0008 0.008
30.45	0.203 0.0008 0.008
30.48	0.195 0.0008 0.008
30.51	0.186 0.0008 0.008
30.54	0.175 0.0008 0.008
30.58	0.163 0.0008 0.008
30.61	0.149 0.0008 0.008
30.65	0.134 0.0008 0.008
30.68	0.119 0.0008 0.008
30.71	0.102 0.0008 0.008
30.75	8.429E-2 0.0008 0.008
30.78	6.658E-2 0.0008 0.008
30.81	4.835E-2 0.0008 0.008
30.85	2.963E-2 0.0008 0.008
30.88	1.068E-2 0.0008 0.008
30.91	-8.946E-3 0.0008 0.008
30.95	-2.760E-2 0.0008 0.008
30.98	-4.668E-2 0.0008 0.008
31.01	-6.556E-2 0.0008 0.008
31.04	-8.361E-2 0.0008 0.008
31.08	-0.101 0.0008 0.008
31.11	-0.118 0.0008 0.008
31.15	-0.134 0.0008 0.008
31.18	-0.149 0.0008 0.008
31.21	-0.162 0.0008 0.008
31.25	-0.175 0.0008 0.008
31.28	-0.186 0.0008 0.008
31.31	-0.196 0.0008 0.008
31.35	-0.204 0.0008 0.008
31.38	-0.210 0.0008 0.008
31.41	-0.215 0.0008 0.008
31.45	-0.218 0.0008 0.008
31.48	-0.221 0.0008 0.008
31.51	-0.221 0.0008 0.008
31.55	-0.219 0.0008 0.008
31.58	-0.216 0.0008 0.008
31.61	-0.212 0.0008 0.008
31.65	-0.205 0.0008 0.008
31.68	-0.197 0.0008 0.008
31.71	-0.188 0.0008 0.008
31.75	-0.177 0.0008 0.008
31.78	-0.165 0.0008 0.008
31.81	-0.151 0.0008 0.008
31.85	-0.137 0.0008 0.008
31.88	-0.121 0.0008 0.008
31.91	-0.105 0.0008 0.008
31.95	-8.821E-2 0.0008 0.008
31.98	-7.005E-2 0.0008 0.008
32.01	-5.209E-2 0.0008 0.008
32.05	-3.328E-2 0.0008 0.008
32.08	-1.451E-2 0.0008 0.008
32.11	4.577E-3 0.0008 0.008
32.15	2.341E-2 0.0008 0.008
32.18	4.240E-2 0.0008 0.008
32.21	6.072E-2 0.0008 0.008
32.25	7.818E-2 0.0008 0.008
32.28	9.557E-2 0.0008 0.008
32.31	0.112 0.0008 0.008
32.35	0.128 0.0008 0.008
32.38	0.142 0.0008 0.008
32.41	0.156 0.0008 0.008
32.45	0.168 0.0008 0.008
32.48	0.180 0.0008 0.008
32.51	0.189 0.0008 0.008
32.55	0.198 0.0008 0.008
32.58	0.205 0.0008 0.008
32.61	0.210 0.0008 0.008
32.65	0.214 0.0008 0.008
32.68	0.216 0.0008 0.008
32.71	0.217 0.0008 0.008
32.75	0.216 0.0008 0.008
32.78	0.214 0.0008 0.008
32.81	0.210 0.0008 0.008
32.85	0.204 0.0008 0.008
32.88	0.197 0.0008 0.008
32.91	0.189 0.0008 0.008
32.95	0.179 0.0008 0.008
32.98	0.167 0.0008 0.008
33.01	0.155 0.0008 0.008
33.05	0.141 0.0008 0.008
33.08	0.127 0.0008 0.008
33.11	0.111 0.0008 0.008
33.15	9.429E-2 0.0008 0.008
33.18	7.675E-2 0.0008 0.008
33.21	5.893E-2 0.0008 0.008
33.25	4.099E-2 0.0008 0.008
33.28	2.205E-2 0.0008 0.008
33.31	3.036E-3 0.0008 0.008
33.35	-1.561E-2 0.0008 0.008
33.38	-3.443E-2 0.0008 0.008
33.41	-5.278E-2 0.0008 0.008
33.45	-7.098E-2 0.0008 0.008
33.48	-8.845E-2 0.0008 0.008
33.51	-0.105 0.0008 0.008
33.55	-0.121 0.0008 0.008
33.58	-0.136 0.0008 0.008
33.61	-0.151 0.0008 0.008
33.65	-0.163 0.0008 0.008
33.68	-0.176 0.0008 0.008
33.71	-0.186 0.0008 0.008
33.75	-0.195 0.0008 0.008
33.78	-0.202 0.0008 0.008
33.81	-0.208 0.0008 0.008
33.85	-0.213 0.0008 0.008
33.88	-0.215 0.0008 0.008
33.91	-0.216 0.0008 0.008
33.95	-0.216 0.0008 0.008
33.98	-0.214 0.0008 0.008
34.01	-0.210 0.0008 0.008
34.05	-0.205 0.0008 0.008
34.08	-0.198 0.0008 0.008
34.11	-0.190 0.0008 0.008
34.15	-0.180 0.0008 0.008
34.18	-0.169 0.0008 0.008
34.21	-0.157 0.0008 0.008
34.25	-0.143 0.0008 0.008
34.28	-0.128 0.0008 0.008
34.31	-0.112 0.0008 0.008
34.35	-9.605E-2 0.0008 0.008
34.38	-7.911E-2 0.0008 0.008
34.41	-6.130E-2 0.0008 0.008
34.45	-4.314E-2 0.0008 0.008
34.48	-2.472E-2 0.0008 0.008
34.51	-6.746E-3 0.0008 0.008
34.55	1.195E-2 0.0008 0.008
34.58	3.062E-2 0.0008 0.008
34.61	4.849E-2 0.0008 0.008
34.65	6.619E-2 0.0008 0.008
34.68	8.362E-2 0.0008 0.008
34.71	0.100 0.0008 0.008
34.75	0.116 0.0008 0.008
34.78	0.131 0.0008 0.008
34.81	0.145 0.0008 0.008
34.85	0.158 0.0008 0.008
34.88	0.170 0.0008 0.008
34.91	0.181 0.0008 0.008
34.95	0.190 0.0008 0.008
34.98	0.197 0.0008 0.008
35.01	0.204 0.0008 0.008
35.05	0.208 0.0008 0.008
35.08	0.211 0.0008 0.008
35.12	0.213 0.0008 0.008
35.15	0.213 0.0008 0.008
35.18	0.211 0.0008 0.008
35.22	0.208 0.0008 0.008
35.25	0.204 0.0008 0.008
35.28	0.197 0.0008 0.008
35.32	0.190 0.0008 0.008
35.35	0.181 0.0008 0.008
35.38	0.171 0.0008 0.008
35.42	0.160 0.0008 0.008
35.45	0.147 0.0008 0.008
35.48	0.133 0.0008 0.008
35.52	0.118 0.0008 0.008
35.55	0.102 0.0008 0.008
35.58	8.485E-2 0.0008 0.008
35.62	6.805E-2 0.0008 0.008
35.65	5.017E-2 0.0008 0.008
35.68	3.186E-2 0.0008 0.008
35.72	1.381E-2 0.0008 0.008
35.75	-4.993E-3 0.0008 0.008
35.78	-2.329E-2 0.0008 0.008
35.82	-4.136E-2 0.0008 0.008
35.85	-5.914E-2 0.0008 0.008
35.88	-7.635E-2 0.0008 0.008
35.92	-9.331E-2 0.0008 0.008
35.95	-0.109 0.0008 0.008
35.98	-0.124 0.0008 0.008
36.02	-0.139 0.0008 0.008
36.05	-0.153 0.0008 0.008
36.08	-0.165 0.0008 0.008
36.12	-0.176 0.0008 0.008
36.15	-0.186 0.0008 0.008
36.18	-0.195 0.0008 0.008
36.22	-0.201 0.0008 0.008
36.25	-0.207 0.0008 0.008
36.28	-0.211 0.0008 0.008
36.32	-0.213 0.0008 0.008
36.35	-0.214 0.0008 0.008
36.38	-0.212 0.0008 0.008
36.42	-0.209 0.0008 0.008
36.45	-0.205 0.0008 0.008
36.48	-0.199 0.0008 0.008
36.52	-0.192 0.0008 0.008
36.55	-0.183 0.0008 0.008
36.58	-0.173 0.0008 0.008
36.62	-0.162 0.0008 0.008
36.65	-0.150 0.0008 0.008
36.68	-0.136 0.0008 0.008
36.72	-0.121 0.0008 0.008
36.75	-0.105 0.0008 0.008
36.78	-8.886E-2 0.0008 0.008
36.82	-7.120E-2 0.0008 0.008
36.85	-5.362E-2 0.0008 0.008
36.88	-3.585E-2 0.0008 0.008
36.92	-1.733E-2 0.0008 0.008
36.95	8.720E-4 0.0008 0.008
36.98	1.906E-2 0.0008 0.008
37.02	3.701E-2 0.0008 0.008
37.05	5.459E-2 0.0008 0.008
37.08	7.209E-2 0.0008 0.008
37.12	8.888E-2 0.0008 0.008
37.15	0.105 0.0008 0.008
37.18	0.120 0.0008 0.008
37.22	0.134 0.0008 0.008
37.25	0.148 0.0008 0.008
37.28	0.160 0.0008 0.008
37.32	0.171 0.0008 0.008
37.35	0.181 0.0008 0.008
37.38	0.189 0.0008 0.008
37.42	0.196 0.0008 0.008
37.45	0.201 0.0008 0.008
37.48	0.205 0.0008 0.008
37.52	0.207 0.0008 0.008
37.55	0.208 0.0008 0.008
37.58	0.208 0.0008 0.008
37.62	0.206 0.0008 0.008
37.65	0.203 0.0008 0.008
37.68	0.197 0.0008 0.008
37.72	0.191 0.0008 0.008
37.75	0.183 0.0008 0.008
37.78	0.174 0.0008 0.008
37.82	0.163 0.0008 0.008
37.85	0.152 0.0008 0.008
37.88	0.139 0.0008 0.008
37.92	0.125 0.0008 0.008
37.95	0.110 0.0008 0.008
37.98	9.418E-2 0.0008 0.008
38.02	7.745E-2 0.0008 0.008
38.05	6.060E-2 0.0008 0.008
38.08	4.260E-2 0.0008 0.008
38.12	2.455E-2 0.0008 0.008
38.15	6.246E-3 0.0008 0.008
38.18	-1.199E-2 0.0008 0.008
38.22	-3.001E-2 0.0008 0.008
38.25	-4.777E-2 0.0008 0.008
38.28	-6.486E-2 0.0008 0.008
38.32	-8.234E-2 0.0008 0.008
38.35	-9.880E-2 0.0008 0.008
38.38	-0.115 0.0008 0.008
38.42	-0.129 0.0008 0.008
38.45	-0.143 0.0008 0.008
38.48	-0.156 0.0008 0.008
38.52	-0.167 0.0008 0.008
38.55	-0.178 0.0008 0.008
38.58	-0.187 0.0008 0.008
38.62	-0.195 0.0008 0.008
38.65	-0.200 0.0008 0.008
38.68	-0.206 0.0008 0.008
38.72	-0.208 0.0008 0.008
38.75	-0.210 0.0008 0.008
38.78	-0.210 0.0008 0.008
38.82	-0.208 0.0008 0.008
38.85	-0.205 0.0008 0.008
38.88	-0.200 0.0008 0.008
38.92	-0.194 0.0008 0.008
38.95	-0.186 0.0008 0.008
38.98	-0.177 0.0008 0.008
39.02	-0.166 0.0008 0.008
39.05	-0.155 0.0008 0.008
39.08	-0.142 0.0008 0.008
39.12	-0.128 0.0008 0.008
39.15	-0.113 0.0008 0.008
39.18	-9.711E-2 0.0008 0.008
39.22	-8.012E-2 0.0008 0.008
39.25	-6.327E-2 0.0008 0.008
39.28	-4.612E-2 0.0008 0.008
39.32	-2.837E-2 0.0008 0.008
39.35	-1.056E-2 0.0008 0.008
39.38	7.734E-3 0.0008 0.008
39.42	2.586E-2 0.0008 0.008
39.45	4.330E-2 0.0008 0.008
39.48	6.099E-2 0.0008 0.008
39.52	7.680E-2 0.0008 0.008
39.55	9.345E-2 0.0008 0.008
39.58	0.109 0.0008 0.008
39.62	0.123 0.0008 0.008
39.65	0.137 0.0008 0.008
39.68	0.150 0.0008 0.008
39.72	0.161 0.0008 0.008
39.75	0.172 0.0008 0.008
39.78	0.181 0.0008 0.008
39.82	0.189 0.0008 0.008
39.85	0.195 0.0008 0.008
39.88	0.200 0.0008 0.008
39.92	0.203 0.0008 0.008
39.95	0.205 0.0008 0.008
39.98	0.204 0.0008 0.008
40.02	0.203 0.0008 0.008
40.05	0.201 0.0008 0.008
40.08	0.197 0.0008 0.008
40.12	0.192 0.0008 0.008
40.15	0.185 0.0008 0.008
40.18	0.176 0.0008 0.008
40.22	0.167 0.0008 0.008
40.25	0.156 0.0008 0.008
40.28	0.143 0.0008 0.008
40.32	0.131 0.0008 0.008
40.35	0.116 0.0008 0.008
40.38	0.101 0.0008 0.008
40.42	8.495E-2 0.0008 0.008
40.45	6.818E-2 0.0008 0.008
40.48	5.147E-2 0.0008 0.008
40.52	3.420E-2 0.0008 0.008
40.55	1.676E-2 0.0008 0.008
40.58	-1.448E-3 0.0008 0.008
40.62	-1.948E-2 0.0008 0.008
40.65	-3.705E-2 0.0008 0.008
40.68	-5.432E-2 0.0008 0.008
40.72	-7.095E-2 0.0008 0.008
40.75	-8.776E-2 0.0008 0.008
40.78	-0.103 0.0008 0.008
40.82	-0.119 0.0008 0.008
40.85	-0.133 0.0008 0.008
40.88	-0.146 0.0008 0.008
40.92	-0.158 0.0008 0.008
40.95	-0.169 0.0008 0.008
40.98	-0.178 0.0008 0.008
41.02	-0.187 0.0008 0.008
41.05	-0.194 0.0008 0.008
41.08	-0.199 0.0008 0.008
41.12	-0.203 0.0008 0.008
41.15	-0.206 0.0008 0.008
41.18	-0.206 0.0008 0.008
41.22	-0.206 0.0008 0.008
41.25	-0.203 0.0008 0.008
41.28	-0.199 0.0008 0.008
41.32	-0.194 0.0008 0.008
41.35	-0.187 0.0008 0.008
41.38	-0.178 0.0008 0.008
41.42	-0.169 0.0008 0.008
41.45	-0.158 0.0008 0.008
41.48	-0.146 0.0008 0.008
41.52	-0.133 0.0008 0.008
41.55	-0.119 0.0008 0.008
41.58	-0.104 0.0008 0.008
41.62	-8.822E-2 0.0008 0.008
41.65	-7.183E-2 0.0008 0.008
41.68	-5.519E-2 0.0008 0.008
41.72	-3.789E-2 0.0008 0.008
41.75	-2.048E-2 0.0008 0.008
41.78	-2.391E-3 0.0008 0.008
41.82	1.524E-2 0.0008 0.008
41.85	3.269E-2 0.0008 0.008
41.88	4.998E-2 0.0008 0.008
41.92	6.691E-2 0.0008 0.008
41.95	8.332E-2 0.0008 0.008
41.98	9.940E-2 0.0008 0.008
42.02	0.114 0.0008 0.008
42.05	0.128 0.0008 0.008
42.08	0.141 0.0008 0.008
42.12	0.153 0.0008 0.008
42.15	0.164 0.0008 0.008
42.18	0.173 0.0008 0.008
42.22	0.182 0.0008 0.008
42.25	0.189 0.0008 0.008
42.28	0.194 0.0008 0.008
42.32	0.198 0.0008 0.008
42.35	0.201 0.0008 0.008
42.38	0.203 0.0008 0.008
42.42	0.203 0.0008 0.008
42.45	0.201 0.0008 0.008
42.48	0.198 0.0008 0.008
42.52	0.194 0.0008 0.008
42.55	0.188 0.0008 0.008
42.58	0.180 0.0008 0.008
42.62	0.171 0.0008 0.008
42.65	0.161 0.0008 0.008
42.68	0.150 0.0008 0.008
42.72	0.137 0.0008 0.008
42.75	0.124 0.0008 0.008
42.78	0.109 0.0008 0.008
42.82	9.409E-2 0.0008 0.008
42.85	7.800E-2 0.0008 0.008
42.88	6.135E-2 0.0008 0.008
42.92	4.474E-2 0.0008 0.008
42.95	2.721E-2 0.0008 0.008
42.99	9.942E-3 0.0008 0.008
43.02	-7.943E-3 0.0008 0.008
43.05	-2.577E-2 0.0008 0.008
43.09	-4.294E-2 0.0008 0.008
43.12	-5.953E-2 0.0008 0.008
43.15	-7.620E-2 0.0008 0.008
43.19	-9.275E-2 0.0008 0.008
43.22	-0.108 0.0008 0.008
43.25	-0.123 0.0008 0.008
43.29	-0.136 0.0008 0.008
43.32	-0.149 0.0008 0.008
43.35	-0.161 0.0008 0.008
43.39	-0.171 0.0008 0.008
43.42	-0.180 0.0008 0.008
43.45	-0.187 0.0008 0.008
43.49	-0.194 0.0008 0.008
43.52	-0.198 0.0008 0.008
43.55	-0.202 0.0008 0.008
43.59	-0.203 0.0008 0.008
43.62	-0.203 0.0008 0.008
43.65	-0.202 0.0008 0.008
43.69	-0.199 0.0008 0.008
43.72	-0.195 0.0008 0.008
43.75	-0.188 0.0008 0.008
43.79	-0.181 0.0008 0.008
43.82	-0.172 0.0008 0.008
43.85	-0.162 0.0008 0.008
43.89	-0.151 0.0008 0.008
43.92	-0.139 0.0008 0.008
43.95	-0.125 0.0008 0.008
43.99	-0.111 0.0008 0.008
44.02	-9.621E-2 0.0008 0.008
44.05	-8.055E-2 0.0008 0.008
44.09	-6.372E-2 0.0008 0.008
44.12	-4.676E-2 0.0008 0.008
44.15	-3.017E-2 0.0008 0.008
44.19	-1.277E-2 0.0008 0.008
44.22	4.720E-3 0.0008 0.008
44.25	2.208E-2 0.0008 0.008
44.29	3.949E-2 0.0008 0.008
44.32	5.631E-2 0.0008 0.008
44.35	7.282E-2 0.0008 0.008
44.39	8.879E-2 0.0008 0.008
44.42	0.104 0.0008 0.008
44.45	0.119 0.0008 0.008
44.49	0.132 0.0008 0.008
44.52	0.145 0.0008 0.008
44.55	0.156 0.0008 0.008
44.59	0.166 0.0008 0.008
44.62	0.175 0.0008 0.008
44.65	0.183 0.0008 0.008
44.69	0.189 0.0008 0.008
44.72	0.194 0.0008 0.008
44.75	0.197 0.0008 0.008
44.79	0.199 0.0008 0.008
44.82	0.200 0.0008 0.008
44.85	0.199 0.0008 0.008
44.89	0.197 0.0008 0.008
44.92	0.193 0.0008 0.008
44.95	0.188 0.0008 0.008
44.99	0.181 0.0008 0.008
45.02	0.173 0.0008 0.008
45.05	0.163 0.0008 0.008
45.09	0.153 0.0008 0.008
45.12	0.141 0.0008 0.008
45.15	0.128 0.0008 0.008
45.19	0.114 0.0008 0.008
45.22	9.992E-2 0.0008 0.008
45.25	8.492E-2 0.0008 0.008
45.29	6.889E-2 0.0008 0.008
45.32	5.221E-2 0.0008 0.008
45.35	3.561E-2 0.0008 0.008
45.39	1.833E-2 0.0008 0.008
45.42	9.545E-4 0.0008 0.008
45.45	-1.660E-2 0.0008 0.008
45.49	-3.375E-2 0.0008 0.008
45.52	-5.047E-2 0.0008 0.008
45.55	-6.700E-2 0.0008 0.008
45.59	-8.289E-2 0.0008 0.008
45.62	-9.856E-2 0.0008 0.008
45.65	-0.113 0.0008 0.008
45.69	-0.127 0.0008 0.008
45.72	-0.140 0.0008 0.008
45.75	-0.152 0.0008 0.008
45.79	-0.163 0.0008 0.008
45.82	-0.172 0.0008 0.008
45.85	-0.180 0.0008 0.008
45.89	-0.187 0.0008 0.008
45.92	-0.192 0.0008 0.008
45.95	-0.196 0.0008 0.008
45.99	-0.199 0.0008 0.008
46.02	-0.199 0.0008 0.008
46.05	-0.199 0.0008 0.008
46.09	-0.197 0.0008 0.008
46.12	-0.194 0.0008 0.008
46.15	-0.189 0.0008 0.008
46.19	-0.183 0.0008 0.008
46.22	-0.175 0.0008 0.008
46.25	-0.166 0.0008 0.008
46.29	-0.155 0.0008 0.008
46.32	-0.144 0.0008 0.008
46.35	-0.131 0.0008 0.008
46.39	-0.118 0.0008 0.008
46.42	-0.103 0.0008 0.008
46.45	-8.811E-2 0.0008 0.008
46.49	-7.219E-2 0.0008 0.008
46.52	-5.600E-2 0.0008 0.008
46.55	-3.930E-2 0.0008 0.008
46.59	-2.238E-2 0.0008 0.008
46.62	-5.427E-3 0.0008 0.008
46.65	1.160E-2 0.0008 0.008
46.69	2.858E-2 0.0008 0.008
46.72	4.558E-2 0.0008 0.008
46.75	6.218E-2 0.0008 0.008
46.79	7.803E-2 0.0008 0.008
46.82	9.336E-2 0.0008 0.008
46.85	0.108 0.0008 0.008
46.89	0.122 0.0008 0.008
46.92	0.134 0.0008 0.008
46.95	0.146 0.0008 0.008
46.99	0.157 0.0008 0.008
47.02	0.166 0.0008 0.008
47.05	0.174 0.0008 0.008
47.09	0.181 0.0008 0.008
47.12	0.187 0.0008 0.008
47.15	0.191 0.0008 0.008
47.19	0.194 0.0008 0.008
47.22	0.196 0.0008 0.008
47.25	0.196 0.0008 0.008
47.29	0.194 0.0008 0.008
47.32	0.191 0.0008 0.008
47.35	0.187 0.0008 0.008
47.39	0.181 0.0008 0.008
47.42	0.174 0.0008 0.008
47.45	0.166 0.0008 0.008
47.49	0.156 0.0008 0.008
47.52	0.146 0.0008 0.008
47.55	0.134 0.0008 0.008
47.59	0.122 0.0008 0.008
47.62	0.108 0.0008 0.008
47.65	9.332E-2 0.0008 0.008
47.69	7.800E-2 0.0008 0.008
47.72	6.195E-2 0.0008 0.008
47.75	4.609E-2 0.0008 0.008
47.79	2.938E-2 0.0008 0.008
47.82	1.233E-2 0.0008 0.008
47.85	-4.871E-3 0.0008 0.008
47.89	-2.239E-2 0.0008 0.008
47.92	-3.915E-2 0.0008 0.008
47.95	-5.588E-2 0.0008 0.008
47.99	-7.171E-2 0.0008 0.008
48.02	-8.780E-2 0.0008 0.008
48.05	-0.103 0.0008 0.008
48.09	-0.117 0.0008 0.008
48.12	-0.130 0.0008 0.008
48.15	-0.142 0.0008 0.008
48.19	-0.153 0.0008 0.008
48.22	-0.163 0.0008 0.008
48.25	-0.172 0.0008 0.008
48.29	-0.180 0.0008 0.008
48.32	-0.186 0.0008 0.008
48.35	-0.191 0.0008 0.008
48.39	-0.195 0.0008 0.008
48.42	-0.196 0.0008 0.008
48.45	-0.196 0.0008 0.008
48.49	-0.196 0.0008 0.008
48.52	-0.193 0.0008 0.008
48.55	-0.188 0.0008 0.008
48.59	-0.183 0.0008 0.008
48.62	-0.176 0.0008 0.008
48.65	-0.168 0.0008 0.008
48.69	-0.159 0.0008 0.008
48.72	-0.148 0.0008 0.008
48.75	-0.136 0.0008 0.008
48.79	-0.124 0.0008 0.008
48.82	-0.110 0.0008 0.008
48.85	-9.565E-2 0.0008 0.008
48.89	-8.023E-2 0.0008 0.008
48.92	-6.435E-2 0.0008 0.008
48.95	-4.845E-2 0.0008 0.008
48.99	-3.193E-2 0.0008 0.008
49.02	-1.507E-2 0.0008 0.008
49.05	1.460E-3 0.0008 0.008
49.09	1.837E-2 0.0008 0.008
49.12	3.505E-2 0.0008 0.008
49.15	5.148E-2 0.0008 0.008
49.19	6.747E-2 0.0008 0.008
49.22	8.277E-2 0.0008 0.008
49.25	9.791E-2 0.0008 0.008
49.29	0.112 0.0008 0.008
49.32	0.125 0.0008 0.008
49.35	0.137 0.0008 0.008
49.39	0.148 0.0008 0.008
49.42	0.158 0.0008 0.008
49.45	0.167 0.0008 0.008
49.49	0.175 0.0008 0.008
49.52	0.181 0.0008 0.008
49.55	0.186 0.0008 0.008
49.59	0.190 0.0008 0.008
49.62	0.193 0.0008 0.008
49.65	0.193 0.0008 0.008
49.69	0.193 0.0008 0.008
49.72	0.191 0.0008 0.008
49.75	0.187 0.0008 0.008
49.79	0.182 0.0008 0.008
49.82	0.176 0.0008 0.008
49.85	0.169 0.0008 0.008
49.89	0.160 0.0008 0.008
49.92	0.150 0.0008 0.008
49.95	0.139 0.0008 0.008
49.99	0.127 0.0008 0.008
50.02	0.114 0.0008 0.008
50.05	9.984E-2 0.0008 0.008
50.09	8.514E-2 0.0008 0.008
50.12	6.971E-2 0.0008 0.008
50.15	5.393E-2 0.0008 0.008
50.19	3.739E-2 0.0008 0.008
50.22	2.053E-2 0.0008 0.008
50.25	3.832E-3 0.0008 0.008
50.29	-1.261E-2 0.0008 0.008
50.32	-2.952E-2 0.0008 0.008
50.35	-4.584E-2 0.0008 0.008
50.39	-6.175E-2 0.0008 0.008
50.42	-7.785E-2 0.0008 0.008
50.45	-9.284E-2 0.0008 0.008
50.49	-0.107 0.0008 0.008
50.52	-0.121 0.0008 0.008
50.55	-0.134 0.0008 0.008
50.59	-0.146 0.0008 0.008
50.62	-0.156 0.0008 0.008
