t	func 0.0008 0.008
1.9666666666666661	-0.29941284271582025 0.0008 0.008
2.0	-0.2986476754266229 0.0008 0.008
2.033333333333336	-0.29480038827609256 0.0008 0.008
2.0666666666666678	-0.2877153943857331 0.0008 0.008
2.100000000000002	-0.27827710323650484 0.0008 0.008
2.1333333333333337	-0.26511799146229786 0.0008 0.008
2.166666666666668	-0.2500136324973261 0.0008 0.008
2.201666666666668	-0.23221168870816133 0.0008 0.008
2.2350000000000017	-0.21098987904838337 0.0008 0.008
2.268333333333334	-0.18835914441525503 0.0008 0.008
2.301666666666668	-0.16381590893855913 0.0008 0.008
2.3350000000000017	-0.13840401913447375 0.0008 0.008
2.368333333333334	-0.11076702198996814 0.0008 0.008
2.4016666666666677	-0.0826035903520182 0.0008 0.008
2.435	-0.052608442813194226 0.0008 0.008
2.468333333333334	-0.023345006847757737 0.0008 0.008
2.501666666666668	0.005634256522010023 0.0008 0.008
2.535	0.03291666935351208 0.0008 0.008
2.568333333333334	0.060250514791267876 0.0008 0.008
2.601666666666668	0.08843823501277372 0.0008 0.008
2.635000000000002	0.11467195279374531 0.0008 0.008
2.6683333333333357	0.13912285497745086 0.0008 0.008
2.701666666666668	0.16256527599116363 0.0008 0.008
2.7350000000000017	0.1844269672869194 0.0008 0.008
2.768333333333334	0.20371210283980393 0.0008 0.008
2.801666666666668	0.2206995249592616 0.0008 0.008
2.8350000000000017	0.23484218768713064 0.0008 0.008
2.868333333333334	0.24620344700937977 0.0008 0.008
2.9016666666666677	0.255181688352338 0.0008 0.008
2.935	0.2619547822744999 0.0008 0.008
2.968333333333334	0.26575558698546176 0.0008 0.008
3.001666666666668	0.2660220695810233 0.0008 0.008
3.035	0.26341988262146787 0.0008 0.008
3.068333333333334	0.25841920060689993 0.0008 0.008
3.101666666666668	0.25050187197410306 0.0008 0.008
3.135000000000002	0.24032557282401648 0.0008 0.008
3.1683333333333357	0.22684512371135077 0.0008 0.008
3.201666666666668	0.2103031345077038 0.0008 0.008
3.2350000000000017	0.19205459172897923 0.0008 0.008
3.268333333333334	0.17179129315270972 0.0008 0.008
3.301666666666668	0.14941471824947222 0.0008 0.008
3.3350000000000017	0.12461205916493635 0.0008 0.008
3.368333333333334	0.09878876423676584 0.0008 0.008
3.4016666666666677	0.07094957269123553 0.0008 0.008
3.435	0.042531216163647155 0.0008 0.008
3.468333333333334	0.014532665505575125 0.0008 0.008
3.501666666666668	-0.01579160659961646 0.0008 0.008
3.535	-0.04376939271663536 0.0008 0.008
3.568333333333334	-0.07354403360303738 0.0008 0.008
3.601666666666668	-0.10247825230066701 0.0008 0.008
3.635000000000002	-0.12999149488038084 0.0008 0.008
3.6683333333333357	-0.15684357821436054 0.0008 0.008
3.701666666666668	-0.18125963677633597 0.0008 0.008
3.7350000000000017	-0.20424623477526319 0.0008 0.008
3.768333333333334	-0.22527617324649107 0.0008 0.008
3.801666666666668	-0.2434826973514505 0.0008 0.008
3.8350000000000017	-0.26005261305529054 0.0008 0.008
3.868333333333334	-0.2723938013732961 0.0008 0.008
3.9016666666666677	-0.2822714099386013 0.0008 0.008
3.935	-0.28904621150930304 0.0008 0.008
3.968333333333334	-0.2931118757976223 0.0008 0.008
4.001666666666668	-0.2937099735982339 0.0008 0.008
4.035	-0.2917718892760941 0.0008 0.008
4.068333333333336	-0.28648226696975926 0.0008 0.008
4.1016666666666675	-0.27815124446417927 0.0008 0.008
4.135000000000002	-0.26726652184006855 0.0008 0.008
4.168333333333336	-0.25299607934876195 0.0008 0.008
4.201666666666668	-0.23644449276744106 0.0008 0.008
4.235000000000002	-0.21745219270712224 0.0008 0.008
4.2683333333333335	-0.19573006255486106 0.0008 0.008
4.301666666666668	-0.17230063976538043 0.0008 0.008
4.335000000000002	-0.14738739205528872 0.0008 0.008
4.368333333333334	-0.12188188039785042 0.0008 0.008
4.40166666666667	-0.09443131653424473 0.0008 0.008
4.435	-0.06483588474378672 0.0008 0.008
4.4683333333333355	-0.03574930808287422 0.0008 0.008
4.501666666666668	-0.007788572860392326 0.0008 0.008
4.535000000000002	0.020108594177633953 0.0008 0.008
4.568333333333334	0.046831412861209454 0.0008 0.008
4.6016666666666675	0.07483397632523789 0.0008 0.008
4.635	0.10197050953520057 0.0008 0.008
