t	func 0.0008 0.008
0.0	-0.3026893686128187 0.0008 0.008
0.03333333333333212	-0.30038839736421535 0.0008 0.008
0.06666666666666606	-0.29347049473111503 0.0008 0.008
0.1	-0.28228976964201724 0.0008 0.008
0.1333333333333321	-0.267361034453547 0.0008 0.008
0.16666666666666605	-0.25000558527247 0.0008 0.008
0.19999999999999818	-0.2292599946869045 0.0008 0.008
0.23333333333333212	-0.20370809768739115 0.0008 0.008
0.26666666666666605	-0.17707953940048263 0.0008 0.008
0.3	-0.14762991046869975 0.0008 0.008
0.3333333333333339	-0.11644302532448488 0.0008 0.008
0.3666666666666661	-0.08452808670449348 0.0008 0.008
0.4	-0.05096809850612077 0.0008 0.008
0.43333333333333396	-0.01731381254095043 0.0008 0.008
0.46666666666666606	0.016653431046226217 0.0008 0.008
0.5	0.05001138874339641 0.0008 0.008
0.5333333333333321	0.0820463409600193 0.0008 0.008
0.5666666666666661	0.11196206073221827 0.0008 0.008
0.6	0.1397894620001012 0.0008 0.008
0.6333333333333321	0.16650052772124585 0.0008 0.008
0.6666666666666661	0.18923701993975373 0.0008 0.008
0.6999999999999982	0.20898845530301885 0.0008 0.008
0.7333333333333322	0.22705188178930688 0.0008 0.008
0.766666666666666	0.23979130420742092 0.0008 0.008
0.8	0.2500700814870034 0.0008 0.008
0.8333333333333339	0.25633836254766906 0.0008 0.008
0.866666666666666	0.2583279509581283 0.0008 0.008
0.9	0.2568685195382409 0.0008 0.008
0.9333333333333339	0.25145721619147704 0.0008 0.008
0.966666666666666	0.24260363984768085 0.0008 0.008
1.0	0.2294417520733206 0.0008 0.008
1.033333333333332	0.21242338796918367 0.0008 0.008
1.066666666666666	0.19268520749869478 0.0008 0.008
1.1	0.1695278337683551 0.0008 0.008
1.1333333333333322	0.14411689486113702 0.0008 0.008
1.166666666666666	0.11552527615694609 0.0008 0.008
1.1999999999999982	0.08597420754778812 0.0008 0.008
1.233333333333332	0.05405161436853098 0.0008 0.008
1.2666666666666662	0.021794060216375734 0.0008 0.008
1.3	-0.011643759968213903 0.0008 0.008
1.333333333333334	-0.04611234512134388 0.0008 0.008
1.366666666666666	-0.07916744142128324 0.0008 0.008
1.4	-0.11173891493310005 0.0008 0.008
1.433333333333334	-0.1421919687298535 0.0008 0.008
1.4666666666666661	-0.17412057107392545 0.0008 0.008
1.5	-0.19935421308255377 0.0008 0.008
1.533333333333332	-0.22527821936673317 0.0008 0.008
1.566666666666666	-0.2502468224316898 0.0008 0.008
1.6	-0.26868257394814926 0.0008 0.008
1.6333333333333322	-0.28373645867629516 0.0008 0.008
1.666666666666666	-0.29439085166953916 0.0008 0.008
1.6999999999999982	-0.30218388532242396 0.0008 0.008
1.733333333333332	-0.30515144309479825 0.0008 0.008
1.7666666666666662	-0.3038898269778294 0.0008 0.008
1.8	-0.2983735507562807 0.0008 0.008
