t_{1}	func 0.0008 0.008
6.2349999999999985	-0.25566231908498516 0.0008 0.008
6.2683333333333335	-0.2710794345065552 0.0008 0.008
6.301666666666666	-0.2808956474125476 0.0008 0.008
6.335000000000002	-0.28786677714670966 0.0008 0.008
6.3683333333333305	-0.2891661045741382 0.0008 0.008
6.401666666666666	-0.2860766348528168 0.0008 0.008
6.434999999999998	-0.2777284883628301 0.0008 0.008
6.468333333333334	-0.2666425795154871 0.0008 0.008
6.501666666666666	-0.2487459333285998 0.0008 0.008
6.534999999999998	-0.22870855261687523 0.0008 0.008
6.568333333333334	-0.20566990973701896 0.0008 0.008
6.601666666666666	-0.1779480359517173 0.0008 0.008
6.635000000000002	-0.14914691244878328 0.0008 0.008
6.668333333333334	-0.11761520227764272 0.0008 0.008
6.701666666666666	-0.08432377072744057 0.0008 0.008
6.7349999999999985	-0.05049036362985777 0.0008 0.008
6.7683333333333335	-0.01619724151044363 0.0008 0.008
6.801666666666666	0.01740666443249613 0.0008 0.008
6.836666666666666	0.05073883676572083 0.0008 0.008
6.870000000000002	0.08184281123956794 0.0008 0.008
6.903333333333331	0.11064168032965589 0.0008 0.008
6.936666666666666	0.13725321155850553 0.0008 0.008
6.969999999999998	0.16111182717384992 0.0008 0.008
7.003333333333334	0.18291797667657836 0.0008 0.008
7.036666666666666	0.19920273609840472 0.0008 0.008
7.0699999999999985	0.21209367142393845 0.0008 0.008
7.10333333333333	0.2210970488863719 0.0008 0.008
7.136666666666666	0.22691941931922624 0.0008 0.008
7.170000000000002	0.22681542106226396 0.0008 0.008
7.203333333333334	0.22343332973906116 0.0008 0.008
7.236666666666666	0.2156594763769505 0.0008 0.008
7.269999999999998	0.20334235283271143 0.0008 0.008
7.303333333333334	0.1868439171148 0.0008 0.008
7.336666666666666	0.16867866368966827 0.0008 0.008
7.370000000000002	0.1445702242190979 0.0008 0.008
7.403333333333331	0.11795590196167854 0.0008 0.008
7.436666666666666	0.0892284054484909 0.0008 0.008
7.469999999999998	0.05770727475345112 0.0008 0.008
7.503333333333334	0.023922989295751807 0.0008 0.008
7.536666666666666	-0.008078110447866972 0.0008 0.008
7.5699999999999985	-0.04286537485299949 0.0008 0.008
7.6033333333333335	-0.07567909409750305 0.0008 0.008
7.636666666666666	-0.1100348119446636 0.0008 0.008
7.670000000000002	-0.14170309988656815 0.0008 0.008
7.703333333333334	-0.17415365119935672 0.0008 0.008
7.736666666666666	-0.20405151681703582 0.0008 0.008
7.769999999999998	-0.22760992867408067 0.0008 0.008
7.803333333333334	-0.25042143134062206 0.0008 0.008
7.836666666666666	-0.2672393270895558 0.0008 0.008
7.870000000000002	-0.28108239729646445 0.0008 0.008
7.903333333333331	-0.2903509075561686 0.0008 0.008
7.936666666666666	-0.2937035292425601 0.0008 0.008
7.969999999999998	-0.292962446421161 0.0008 0.008
8.003333333333334	-0.28758514356664877 0.0008 0.008
8.036666666666665	-0.27746148261414716 0.0008 0.008
8.069999999999999	-0.26334687517890143 0.0008 0.008
8.103333333333333	-0.24470234223888057 0.0008 0.008
8.136666666666667	-0.22246406415175515 0.0008 0.008
8.170000000000002	-0.1966792516570875 0.0008 0.008
8.203333333333333	-0.16730475372519776 0.0008 0.008
8.236666666666666	-0.13702239894118767 0.0008 0.008
8.269999999999998	-0.10393685793613161 0.0008 0.008
8.303333333333335	-0.07147638766871754 0.0008 0.008
8.336666666666666	-0.03784796687511755 0.0008 0.008
8.370000000000001	-0.002972478767084049 0.0008 0.008
8.40333333333333	0.029250332659012616 0.0008 0.008
8.436666666666666	0.06224558646883143 0.0008 0.008
8.469999999999999	0.09227412288412716 0.0008 0.008
8.503333333333334	0.12128695352927625 0.0008 0.008
8.536666666666665	0.14622637163591176 0.0008 0.008
8.569999999999999	0.16872151703821991 0.0008 0.008
8.603333333333333	0.187814625861851 0.0008 0.008
8.636666666666667	0.20256085365854998 0.0008 0.008
8.670000000000002	0.21511094845017453 0.0008 0.008
8.703333333333333	0.2230460945190088 0.0008 0.008
8.736666666666666	0.22502887607850702 0.0008 0.008
8.769999999999998	0.22473197312129814 0.0008 0.008
8.803333333333335	0.21976671273305448 0.0008 0.008
8.836666666666666	0.21031696623686125 0.0008 0.008
8.870000000000001	0.19617736741086728 0.0008 0.008
8.90333333333333	0.17938793287134033 0.0008 0.008
8.936666666666666	0.15790598311683252 0.0008 0.008
8.969999999999999	0.13413493905641224 0.0008 0.008
9.003333333333334	0.10534998021130908 0.0008 0.008
9.036666666666665	0.07597492178404161 0.0008 0.008
9.069999999999999	0.0437801415931156 0.0008 0.008
9.103333333333333	0.01138351511128805 0.0008 0.008
9.136666666666667	-0.020872642726835665 0.0008 0.008
9.170000000000002	-0.05423916431101085 0.0008 0.008
9.203333333333333	-0.08892667467579154 0.0008 0.008
9.236666666666666	-0.11964670922032526 0.0008 0.008
9.269999999999998	-0.15151534220453844 0.0008 0.008
9.303333333333335	-0.17971021166266918 0.0008 0.008
9.336666666666666	-0.2056377448918509 0.0008 0.008
9.370000000000001	-0.22907045656045652 0.0008 0.008
9.40333333333333	-0.24793154404151227 0.0008 0.008
9.436666666666666	-0.26354056288288696 0.0008 0.008
9.469999999999999	-0.27410984891724915 0.0008 0.008
9.503333333333334	-0.28086206869917946 0.0008 0.008
9.536666666666665	-0.28316689371489173 0.0008 0.008
9.569999999999999	-0.2815210600696461 0.0008 0.008
9.603333333333333	-0.2740298029672336 0.0008 0.008
9.636666666666667	-0.2618042763468052 0.0008 0.008
9.670000000000002	-0.2471269227733467 0.0008 0.008
9.703333333333333	-0.22674562720788788 0.0008 0.008
9.736666666666666	-0.2050162832196707 0.0008 0.008
9.769999999999998	-0.17818614345190392 0.0008 0.008
9.803333333333335	-0.148830048250978 0.0008 0.008
9.836666666666666	-0.1187454834063175 0.0008 0.008
9.870000000000001	-0.08688239591718669 0.0008 0.008
9.90333333333333	-0.05393635505639086 0.0008 0.008
9.936666666666666	-0.02092486802927866 0.0008 0.008
9.969999999999999	0.013052627303980404 0.0008 0.008
10.003333333333334	0.045319536434941333 0.0008 0.008
10.036666666666665	0.07602479171978878 0.0008 0.008
10.069999999999999	0.10523808606074532 0.0008 0.008
10.103333333333333	0.13208433232974637 0.0008 0.008
10.136666666666667	0.15549950823921282 0.0008 0.008
10.170000000000002	0.17714546502535639 0.0008 0.008
10.203333333333333	0.19376972951701513 0.0008 0.008
10.236666666666666	0.20675784605288608 0.0008 0.008
10.269999999999998	0.21625180488784043 0.0008 0.008
10.303333333333335	0.22165027569571433 0.0008 0.008
10.336666666666666	0.22284121754521963 0.0008 0.008
10.370000000000001	0.21999337160328486 0.0008 0.008
10.40333333333333	0.21241441938341532 0.0008 0.008
10.436666666666666	0.20131017232520512 0.0008 0.008
10.469999999999999	0.1865296933181314 0.0008 0.008
10.503333333333334	0.16709950065436388 0.0008 0.008
10.536666666666665	0.14528400812062936 0.0008 0.008
10.569999999999999	0.11944353169516587 0.0008 0.008
10.603333333333333	0.09041338545348236 0.0008 0.008
10.636666666666667	0.06007786156101842 0.0008 0.008
10.670000000000002	0.027837659673837507 0.0008 0.008
10.703333333333333	-0.005115683302479809 0.0008 0.008
10.736666666666666	-0.03779998310908267 0.0008 0.008
10.769999999999998	-0.07052152119009276 0.0008 0.008
10.804999999999998	-0.1045261260861841 0.0008 0.008
10.838333333333335	-0.13660914264523003 0.0008 0.008
10.871666666666666	-0.16545423074595605 0.0008 0.008
10.905000000000001	-0.19523993378652613 0.0008 0.008
10.93833333333333	-0.22102934489789913 0.0008 0.008
10.971666666666666	-0.2408358540565354 0.0008 0.008
11.004999999999999	-0.2589386622594763 0.0008 0.008
11.038333333333334	-0.2725961193295782 0.0008 0.008
11.071666666666665	-0.2827600291878533 0.0008 0.008
11.104999999999999	-0.2869194828873464 0.0008 0.008
11.138333333333334	-0.2866559972059646 0.0008 0.008
11.171666666666667	-0.2816657066623374 0.0008 0.008
11.205000000000002	-0.27230996073755853 0.0008 0.008
11.238333333333333	-0.259700301083408 0.0008 0.008
11.271666666666667	-0.24063399210286027 0.0008 0.008
11.304999999999998	-0.21948822102299917 0.0008 0.008
11.338333333333335	-0.19428472856694343 0.0008 0.008
11.371666666666666	-0.16713309447307054 0.0008 0.008
11.405000000000001	-0.13745527441867275 0.0008 0.008
11.43833333333333	-0.10656907373458935 0.0008 0.008
11.471666666666666	-0.07399798933904836 0.0008 0.008
11.504999999999999	-0.04067352088287392 0.0008 0.008
11.538333333333334	-0.006467832368152516 0.0008 0.008
11.571666666666665	0.02581426594876728 0.0008 0.008
11.604999999999999	0.05763023069935204 0.0008 0.008
11.638333333333334	0.08816370354926086 0.0008 0.008
11.671666666666667	0.11582626320823071 0.0008 0.008
11.705000000000002	0.14137259221211104 0.0008 0.008
11.738333333333333	0.16445279295300996 0.0008 0.008
11.771666666666667	0.18317768597952205 0.0008 0.008
11.804999999999998	0.19776007776797627 0.0008 0.008
11.838333333333335	0.21009688325158357 0.0008 0.008
11.871666666666666	0.21799012158904194 0.0008 0.008
11.905000000000001	0.22110400123250779 0.0008 0.008
11.93833333333333	0.22134338845750431 0.0008 0.008
11.971666666666666	0.21586556737890633 0.0008 0.008
12.004999999999999	0.2069765279205789 0.0008 0.008
12.038333333333334	0.1940671232448009 0.0008 0.008
12.071666666666665	0.17786050718104898 0.0008 0.008
12.104999999999999	0.15803072895625597 0.0008 0.008
12.138333333333334	0.1341467295147289 0.0008 0.008
12.171666666666667	0.10727229922862247 0.0008 0.008
12.205000000000002	0.07803795358357439 0.0008 0.008
12.238333333333333	0.047934710451948796 0.0008 0.008
12.271666666666667	0.014398185687513467 0.0008 0.008
12.304999999999998	-0.017949076217548904 0.0008 0.008
12.338333333333335	-0.050610504556345574 0.0008 0.008
12.371666666666666	-0.08353387281438547 0.0008 0.008
12.405000000000001	-0.11599139556549481 0.0008 0.008
12.43833333333333	-0.14569006871243445 0.0008 0.008
12.471666666666666	-0.17446637405279963 0.0008 0.008
12.504999999999999	-0.2001710293802039 0.0008 0.008
12.538333333333334	-0.22283220467929932 0.0008 0.008
12.571666666666665	-0.24134262615091126 0.0008 0.008
12.604999999999999	-0.25733616938195886 0.0008 0.008
12.638333333333334	-0.2680882730094571 0.0008 0.008
12.671666666666667	-0.2747762910180211 0.0008 0.008
12.705000000000002	-0.27802798631484865 0.0008 0.008
12.738333333333333	-0.27524256527508506 0.0008 0.008
12.771666666666667	-0.26982236581837177 0.0008 0.008
12.804999999999998	-0.25764850360200725 0.0008 0.008
12.838333333333335	-0.24361605140880926 0.0008 0.008
12.871666666666666	-0.2245655151444132 0.0008 0.008
12.905000000000001	-0.20297021314128028 0.0008 0.008
12.93833333333333	-0.1777705707162183 0.0008 0.008
12.971666666666666	-0.14986564250676962 0.0008 0.008
13.004999999999999	-0.11940362275412594 0.0008 0.008
13.038333333333334	-0.08867046593905531 0.0008 0.008
13.071666666666665	-0.056454589230263474 0.0008 0.008
13.104999999999999	-0.02290201804020912 0.0008 0.008
13.138333333333334	0.009525753560323718 0.0008 0.008
13.171666666666667	0.04127007597360986 0.0008 0.008
13.205000000000002	0.07182736388420537 0.0008 0.008
13.238333333333333	0.10093726899001851 0.0008 0.008
13.271666666666667	0.12685420488594903 0.0008 0.008
13.304999999999998	0.1518548970513091 0.0008 0.008
13.338333333333335	0.17207792290049015 0.0008 0.008
13.371666666666666	0.18862588502544325 0.0008 0.008
13.405000000000001	0.20266942275058733 0.0008 0.008
13.43833333333333	0.21250255971173937 0.0008 0.008
13.471666666666666	0.21809185303859668 0.0008 0.008
13.504999999999999	0.22002342350947462 0.0008 0.008
13.538333333333334	0.21775913602281233 0.0008 0.008
13.571666666666669	0.2108971164950528 0.0008 0.008
13.604999999999999	0.20007722995230381 0.0008 0.008
13.638333333333334	0.18508190956634196 0.0008 0.008
13.671666666666667	0.1670730910248303 0.0008 0.008
13.705000000000002	0.14512080607081743 0.0008 0.008
13.738333333333333	0.1198936239608248 0.0008 0.008
13.771666666666667	0.09259915824090742 0.0008 0.008
13.804999999999998	0.06387797163194503 0.0008 0.008
13.838333333333335	0.03291937541213665 0.0008 0.008
13.871666666666666	2.870380056090582E-4 0.0008 0.008
13.905000000000001	-0.032242816375729774 0.0008 0.008
13.93833333333333	-0.06446890546127249 0.0008 0.008
13.971666666666666	-0.09737933883880327 0.0008 0.008
14.004999999999999	-0.1290767907625785 0.0008 0.008
14.038333333333334	-0.15772016231701957 0.0008 0.008
14.071666666666669	-0.1842333128594651 0.0008 0.008
14.104999999999999	-0.20884768831522457 0.0008 0.008
14.138333333333334	-0.2295270017608203 0.0008 0.008
