t	func 0.0008 0.008
2.1	0.24087786159997404 0.0008 0.008
2.133333333333332	0.24399731401275956 0.0008 0.008
2.166666666666666	0.24071782687824636 0.0008 0.008
2.200000000000002	0.23230521631584375 0.0008 0.008
2.233333333333334	0.21793420475212255 0.0008 0.008
2.266666666666668	0.19909710028262345 0.0008 0.008
2.3	0.17477652682213415 0.0008 0.008
2.333333333333334	0.14482838166718032 0.0008 0.008
2.366666666666668	0.1126979355186193 0.0008 0.008
2.4	0.07658853326793373 0.0008 0.008
2.433333333333334	0.03802784872096118 0.0008 0.008
2.466666666666666	-0.0019096233020635118 0.0008 0.008
2.5	-0.042576056921358726 0.0008 0.008
2.533333333333334	-0.08283286808156823 0.0008 0.008
2.566666666666666	-0.12334542017567242 0.0008 0.008
2.6	-0.1611424397666734 0.0008 0.008
2.633333333333332	-0.19473104184314916 0.0008 0.008
2.666666666666666	-0.2265965523082071 0.0008 0.008
2.700000000000002	-0.2549479986992168 0.0008 0.008
2.733333333333334	-0.2777849846576942 0.0008 0.008
2.766666666666668	-0.2935003256057912 0.0008 0.008
2.801666666666668	-0.30621886526493614 0.0008 0.008
2.8350000000000017	-0.31149011845654145 0.0008 0.008
2.868333333333334	-0.31033861092911114 0.0008 0.008
2.9016666666666677	-0.30460801519808817 0.0008 0.008
2.935	-0.29103135323048174 0.0008 0.008
2.968333333333334	-0.2719567951791182 0.0008 0.008
3.001666666666668	-0.24776418313955653 0.0008 0.008
3.035	-0.2217144298775441 0.0008 0.008
3.068333333333334	-0.1881197652555775 0.0008 0.008
3.101666666666666	-0.15236026648929601 0.0008 0.008
3.135	-0.11662079668417971 0.0008 0.008
3.168333333333334	-0.0766559818416631 0.0008 0.008
3.201666666666666	-0.0356670246031165 0.0008 0.008
3.235	0.0032178957782761043 0.0008 0.008
3.268333333333334	0.041144910083964155 0.0008 0.008
3.301666666666668	0.07902189671890798 0.0008 0.008
3.3350000000000017	0.11460523349610571 0.0008 0.008
3.368333333333334	0.1469250908365747 0.0008 0.008
3.4016666666666677	0.17425989154047916 0.0008 0.008
3.435	0.19730063087406594 0.0008 0.008
3.468333333333334	0.21512800990248632 0.0008 0.008
3.501666666666668	0.2289855895342186 0.0008 0.008
3.535	0.23598340335406004 0.0008 0.008
3.568333333333334	0.2378978389073177 0.0008 0.008
3.601666666666666	0.2353295192103087 0.0008 0.008
3.635	0.22635876158859405 0.0008 0.008
3.668333333333334	0.21270169185381477 0.0008 0.008
3.701666666666666	0.19171216072965155 0.0008 0.008
3.735	0.16925944969030296 0.0008 0.008
3.768333333333334	0.13978126442572827 0.0008 0.008
3.801666666666668	0.10781307934448327 0.0008 0.008
3.8350000000000017	0.07260218039072582 0.0008 0.008
3.868333333333334	0.034369376997053024 0.0008 0.008
3.9016666666666677	-0.006898179616111656 0.0008 0.008
3.935	-0.0444140341520189 0.0008 0.008
3.968333333333334	-0.08553049672401343 0.0008 0.008
4.001666666666668	-0.12406890549423291 0.0008 0.008
4.035	-0.16071643776420652 0.0008 0.008
4.068333333333334	-0.19371065866267123 0.0008 0.008
4.101666666666666	-0.2235794684857633 0.0008 0.008
4.135	-0.2526571186644593 0.0008 0.008
4.168333333333334	-0.2731147399354182 0.0008 0.008
4.201666666666666	-0.29018589149966634 0.0008 0.008
4.235	-0.3021366408691788 0.0008 0.008
4.2683333333333335	-0.3067195134779819 0.0008 0.008
4.301666666666668	-0.3059929390406904 0.0008 0.008
4.335000000000002	-0.2994510264708538 0.0008 0.008
4.368333333333334	-0.28718528518145553 0.0008 0.008
4.401666666666668	-0.2699955954070033 0.0008 0.008
4.435	-0.2457140490145124 0.0008 0.008
4.468333333333334	-0.21747301000781816 0.0008 0.008
4.501666666666668	-0.18237125855099243 0.0008 0.008
4.535	-0.149774758779189 0.0008 0.008
4.568333333333334	-0.11231058380769565 0.0008 0.008
4.601666666666666	-0.07476865546752715 0.0008 0.008
4.635	-0.03316602322210138 0.0008 0.008
4.668333333333334	0.004973402413051874 0.0008 0.008
4.701666666666666	0.042494673949814224 0.0008 0.008
4.735000000000002	0.08054658868315212 0.0008 0.008
4.7683333333333335	0.11461665541677583 0.0008 0.008
4.801666666666668	0.1461407624613429 0.0008 0.008
4.835000000000002	0.17375929064723125 0.0008 0.008
4.868333333333334	0.19659228164266884 0.0008 0.008
4.901666666666668	0.21489523583274275 0.0008 0.008
4.935	0.22879442450112658 0.0008 0.008
4.968333333333334	0.2358253556086221 0.0008 0.008
5.001666666666668	0.23809602657061604 0.0008 0.008
5.035	0.2337583675030397 0.0008 0.008
5.068333333333336	0.22404869856069967 0.0008 0.008
5.101666666666666	0.2101240755034355 0.0008 0.008
5.135000000000002	0.19002683201129447 0.0008 0.008
5.168333333333334	0.16494785439764253 0.0008 0.008
5.201666666666668	0.13562945385773767 0.0008 0.008
5.235	0.1035458034499997 0.0008 0.008
5.2683333333333335	0.06821221710260322 0.0008 0.008
5.301666666666666	0.029526014407889264 0.0008 0.008
5.335000000000002	-0.009254725754159395 0.0008 0.008
5.368333333333334	-0.0492339715327516 0.0008 0.008
5.401666666666666	-0.08936308383123705 0.0008 0.008
5.434999999999998	-0.1283350282784353 0.0008 0.008
5.468333333333334	-0.16480836055474432 0.0008 0.008
5.50166666666667	-0.19808341615652825 0.0008 0.008
5.535000000000002	-0.22719752845826213 0.0008 0.008
5.568333333333334	-0.25250986114851887 0.0008 0.008
5.601666666666666	-0.27472452194602226 0.0008 0.008
5.635000000000002	-0.28996141707516165 0.0008 0.008
5.668333333333334	-0.3023211269479431 0.0008 0.008
5.70166666666667	-0.3050041314584306 0.0008 0.008
5.7349999999999985	-0.30491044358772595 0.0008 0.008
5.7683333333333335	-0.29637851947653976 0.0008 0.008
5.801666666666666	-0.2846328387619255 0.0008 0.008
5.835000000000002	-0.26645695343740555 0.0008 0.008
5.868333333333334	-0.24367543472414202 0.0008 0.008
5.901666666666666	-0.2162383616587141 0.0008 0.008
5.934999999999998	-0.1831219684516069 0.0008 0.008
