t amplitude xerr yerr
0.7999999999999982 0.23760816534539395 0.0008 0.008
2.399999999999998 0.23433360944889814 0.0008 0.008
4.001666666666666 0.23204359492205426 0.0008 0.008
5.568333333333334 0.23012812077386072 0.0008 0.008
7.136666666666666 0.22691941931922624 0.0008 0.008
8.736666666666666 0.22502887607850702 0.0008 0.008
10.336666666666666 0.22284121754521963 0.0008 0.008
11.93833333333333 0.22134338845750431 0.0008 0.008
13.504999999999999 0.22002342350947462 0.0008 0.008
15.073333333333334 0.2181712469394853 0.0008 0.008
16.673333333333336 0.2163786397969287 0.0008 0.008
18.24 0.2128508742814756 0.0008 0.008
19.841666666666665 0.21249191359180075 0.0008 0.008
21.441666666666663 0.20917983060521816 0.0008 0.008
23.01 0.20738725055888022 0.0008 0.008
24.610000000000007 0.2054882153637782 0.0008 0.008
26.176666666666666 0.20383730444288978 0.0008 0.008
27.745 0.20221940548635498 0.0008 0.008
29.345000000000006 0.20065104756568086 0.0008 0.008
30.946666666666673 0.19886420290657975 0.0008 0.008
32.513333333333335 0.19708662547880307 0.0008 0.008
34.11333333333334 0.19532074224146082 0.0008 0.008
35.68166666666667 0.19322517148388316 0.0008 0.008
37.28166666666667 0.19143139439329282 0.0008 0.008
38.85000000000001 0.18944615269444567 0.0008 0.008
40.45 0.18776919140185205 0.0008 0.008
42.01666666666667 0.18530769998775534 0.0008 0.008
43.61833333333333 0.18424176223323496 0.0008 0.008
45.18500000000001 0.1819170370840438 0.0008 0.008
46.78666666666667 0.18060233541473628 0.0008 0.008
48.35333333333334 0.1787363580007203 0.0008 0.008
49.953333333333326 0.17717755650371644 0.0008 0.008
51.52166666666667 0.17695670997997368 0.0008 0.008
53.088333333333345 0.17318577234433286 0.0008 0.008
54.69000000000001 0.1732381428820291 0.0008 0.008
56.29 0.17126259582545741 0.0008 0.008
57.85666666666667 0.16972596466025835 0.0008 0.008
59.42500000000001 0.16820721973863312 0.0008 0.008
61.025 0.167883487049861 0.0008 0.008
62.62666666666667 0.16622498081872542 0.0008 0.008
64.19333333333334 0.16414802655994273 0.0008 0.008
65.79333333333332 0.16241518284879033 0.0008 0.008
67.36166666666666 0.16201694288619903 0.0008 0.008
68.92833333333334 0.16074528333557497 0.0008 0.008
70.53 0.157209438548664 0.0008 0.008
72.09666666666668 0.1567531078728902 0.0008 0.008
73.66333333333334 0.1553819078236427 0.0008 0.008
75.26500000000001 0.15492227643325615 0.0008 0.008
76.865 0.15316888878865617 0.0008 0.008
78.43333333333332 0.1519046868477778 0.0008 0.008
80.00000000000001 0.1500604991320496 0.0008 0.008
81.6 0.1493061258555494 0.0008 0.008
83.16833333333332 0.1481779952362506 0.0008 0.008
84.76833333333335 0.1463299340832514 0.0008 0.008
86.33666666666667 0.1457399474534569 0.0008 0.008
87.93666666666668 0.14430648150517103 0.0008 0.008
89.50333333333334 0.1427926480104343 0.0008 0.008
91.07166666666667 0.14079803193327506 0.0008 0.008
92.67166666666668 0.141039738352334 0.0008 0.008
94.24 0.13921527266647835 0.0008 0.008
95.84 0.13839296632859918 0.0008 0.008
97.44000000000001 0.13707916912953624 0.0008 0.008
99.00833333333334 0.13676781983505784 0.0008 0.008
100.575 0.13535787875639502 0.0008 0.008
102.17666666666668 0.13337214290927457 0.0008 0.008
103.74333333333334 0.13309418978011522 0.0008 0.008
105.31000000000002 0.1320267495267482 0.0008 0.008
106.87833333333334 0.13006017650069363 0.0008 0.008
108.51166666666667 0.12961687899323762 0.0008 0.008
110.08000000000001 0.12837957899811991 0.0008 0.008
111.64666666666668 0.12789265044578904 0.0008 0.008
113.21333333333334 0.12628697722686494 0.0008 0.008
114.815 0.12587487290995103 0.0008 0.008
116.38166666666669 0.12459680838913013 0.0008 0.008
117.95000000000003 0.12416163587106875 0.0008 0.008
119.55 0.12252707533802734 0.0008 0.008
121.11666666666669 0.12081795754888627 0.0008 0.008
122.71833333333335 0.12216993660462307 0.0008 0.008
124.28500000000003 0.12074842071137287 0.0008 0.008
125.88666666666668 0.1191828143452648 0.0008 0.008
127.45333333333335 0.11902715339972472 0.0008 0.008
129.02 0.11718865525111172 0.0008 0.008
130.62166666666667 0.11674525951019935 0.0008 0.008
132.18833333333333 0.11567954102499335 0.0008 0.008
133.79000000000002 0.11527043218321442 0.0008 0.008
135.39 0.11350994623412483 0.0008 0.008
