t_{1}	x_{1}	y_{1}	amp
0.0	0.37021601294521933	-1.2387028797090684	-0.29042339407279855
0.03333333333332848	0.3692360144139689	-1.2387785922713437	-0.2896802305735728
0.06666666666666424	0.36555279938765584	-1.2399435229184388	-0.2866922981659518
0.09999999999999636	0.3592835218927073	-1.2417721157143131	-0.28164047282747484
0.1333333333333321	0.34903425115771336	-1.2444615824147929	-0.2734445635337228
0.16666666666666424	0.33655757348618487	-1.2477515218637092	-0.2634613250628302
0.19999999999999638	0.3220493684597603	-1.252171857094099	-0.2517366535662834
0.23333333333332848	0.30426667354920556	-1.255900759547506	-0.2376899380348328
0.2666666666666642	0.2842243983913926	-1.2601138539462433	-0.22184219705397135
0.3	0.2622512243313302	-1.265311391104558	-0.20436859421899303
0.3333333333333321	0.23706148498324453	-1.2696693636521825	-0.1845858264962707
0.36666666666666425	0.20943882671734748	-1.2739553924411033	-0.16294289281590307
0.39999999999999636	0.18099287445958956	-1.2788010394853595	-0.14059940536730067
0.4333333333333321	0.15136086899066648	-1.2819830897633635	-0.11752367996679748
0.46666666666666423	0.12128486328768984	-1.2852175071747354	-0.09409048567598494
0.5	0.08871220000204372	-1.2877453812095683	-0.06878088140978775
0.5333333333333284	0.056539557327482504	-1.2897883292874144	-0.0438082605190075
0.5666666666666642	0.023070131520812387	-1.2900167260211215	-0.01788168484624514
0.5999999999999963	-0.010308548977026266	-1.2902466325343236	0.007989425727941276
0.6349999999999963	-0.04317498205783732	-1.288461124945948	0.0334964186548971
0.6683333333333321	-0.07559170876918075	-1.286630943934872	0.058684204705011775
0.7016666666666642	-0.10648231616668485	-1.283898232127755	0.08274734708424197
0.7349999999999963	-0.1364997489279579	-1.2805988245316218	0.10618961418638942
0.7683333333333284	-0.16501124009830626	-1.2780624016463702	0.1284001601098223
0.8016666666666642	-0.19208125823680627	-1.2727653084415633	0.14978613831717105
0.835	-0.21697626469032483	-1.2697692860161123	0.16924385271545664
0.8683333333333321	-0.24009688931941314	-1.2641905842499939	0.18768611737483396
0.9016666666666643	-0.26104518916758435	-1.2593172516920002	0.20439624973620646
0.9349999999999964	-0.2791424276963317	-1.2561483701496745	0.2186676906894258
0.9683333333333322	-0.2955686071968993	-1.251810781875677	0.23186630475901182
1.0016666666666643	-0.3090185336816693	-1.2483304676696314	0.24266717231718685
1.035	-0.3198626269703396	-1.2450025990263807	0.2514783327626378
1.0683333333333285	-0.3283505328841528	-1.2433676507994251	0.258187408932851
1.1016666666666644	-0.33367108499925735	-1.2413835240084388	0.2625834121000766
1.1349999999999965	-0.33591289722223916	-1.2406625029018774	0.26441338926147034
1.1683333333333321	-0.3359252172486936	-1.2410762214402657	0.26433854445830696
1.2016666666666642	-0.33285229284775064	-1.2417366390277098	0.2618970366460038
1.2349999999999963	-0.32711198451573664	-1.2435960475130077	0.2572108055047242
1.2683333333333284	-0.31878260286892834	-1.245007974079294	0.25066335220676395
1.3016666666666643	-0.3081988210240527	-1.2489717132843223	0.24192886717179815
1.335	-0.2945986032867487	-1.2518641437158817	0.23112270986250136
1.368333333333332	-0.27836915885566293	-1.2566843850413942	0.21799089679188205
1.4016666666666642	-0.2591184840847924	-1.2616165545631097	0.20256908223881023
1.4349999999999963	-0.23825831983463563	-1.2667850288349487	0.18590925397221492
1.4683333333333322	-0.21463380485358158	-1.2716583525364697	0.16720671566829098
1.5016666666666643	-0.19025058235720765	-1.2754649333662276	0.14807004320658373
1.535	-0.16329446172015427	-1.2794062034431513	0.1269466487004348
1.5683333333333285	-0.13458836761112847	-1.283893949432738	0.10444678651792906
1.6016666666666644	-0.1044440912219945	-1.2870878052546189	0.08097018700427173
1.6349999999999965	-0.0736543048179295	-1.2902161254183104	0.05702490360032481
1.6683333333333321	-0.04231062816988718	-1.2909172520205419	0.03276390275458464
1.7016666666666642	-0.009967316129543935	-1.2919288109006755	0.007714912999462179
1.7349999999999963	0.022915469764400842	-1.2925424262297205	-0.017727131306971688
1.7683333333333284	0.055654186524754845	-1.2908338501476568	-0.04308822535402694
1.8016666666666643	0.08761492989848285	-1.2891099610967565	-0.0678610813833516
1.835	0.1197058676657402	-1.2868688147865852	-0.09275411735162459
1.868333333333332	0.1505208263031006	-1.283758191133723	-0.11671722539283642
1.9016666666666642	0.17858991252713274	-1.2802087873936832	-0.13860612223208074
1.9349999999999963	0.207726016544454	-1.2765372167752125	-0.16131225134637306
1.9683333333333322	0.23504080402539151	-1.2726581285073166	-0.18262712574847717
2.0016666666666643	0.2593852750314779	-1.2683527481081784	-0.20172411667020212
2.035	0.28030309529287845	-1.263030943128269	-0.21838943038367686
2.0683333333333285	0.30024254158852637	-1.2586088573826562	-0.23417455299598097
2.1016666666666644	0.31706974784256414	-1.2541890889388125	-0.2476202696180119
2.1349999999999962	0.33115224523570563	-1.2501148380920304	-0.2589499163661319
2.168333333333332	0.3436201567370464	-1.246332897981825	-0.2690214846451634
2.2016666666666644	0.3531868264135889	-1.2444259511456683	-0.2765428918629073
2.2349999999999963	0.359959717270971	-1.2423027630977945	-0.28202865086513257
2.2683333333333286	0.36370406152620094	-1.240853422549008	-0.2851219242301751
2.301666666666664	0.36443530696084525	-1.2409477713765567	-0.28564396635234174
2.335	0.362561070132672	-1.2416561294666777	-0.2840994118231055
2.3683333333333323	0.357005452760242	-1.2431378183081152	-0.279655070848393
2.401666666666664	0.3487201923249189	-1.2455774565983455	-0.27297781049273107
2.4349999999999965	0.33827508932256456	-1.2483695246603996	-0.26461898821669505
2.468333333333332	0.324071643080046	-1.252321491787934	-0.2532218914868743
