t_{1}	amp 0.0008 0.008
2.6349999999999962	-0.17059605112903986 0.0008 0.008
2.668333333333332	-0.14837980022095684 0.0008 0.008
2.7016666666666644	-0.1258871802482002 0.0008 0.008
2.7349999999999963	-0.10349085441678188 0.0008 0.008
2.7683333333333286	-0.0795636751220594 0.0008 0.008
2.801666666666664	-0.054354044977351156 0.0008 0.008
2.835	-0.02842770947058433 0.0008 0.008
2.8683333333333323	-0.003165527341157292 0.0008 0.008
2.901666666666664	0.021033648673211072 0.0008 0.008
2.9349999999999965	0.045836600323776996 0.0008 0.008
2.968333333333332	0.06975403197607666 0.0008 0.008
3.0016666666666643	0.09335500119692387 0.0008 0.008
3.035	0.11524119771327018 0.0008 0.008
3.0683333333333285	0.13611649300968737 0.0008 0.008
3.1016666666666644	0.15593234640848413 0.0008 0.008
3.1349999999999962	0.17454869285946883 0.0008 0.008
3.168333333333332	0.19210352283916246 0.0008 0.008
3.2016666666666644	0.20707630143452974 0.0008 0.008
3.2349999999999963	0.22040359696979453 0.0008 0.008
3.268333333333332	0.2318536204061406 0.0008 0.008
3.301666666666664	0.24158774231373895 0.0008 0.008
3.335	0.24897904599474643 0.0008 0.008
3.3683333333333323	0.254312100024344 0.0008 0.008
3.401666666666664	0.25792593240187106 0.0008 0.008
3.4349999999999965	0.25881748885975436 0.0008 0.008
3.468333333333332	0.2579772254039513 0.0008 0.008
3.5016666666666643	0.2545544484656234 0.0008 0.008
3.535	0.2489612350920194 0.0008 0.008
3.5683333333333285	0.2416983832806114 0.0008 0.008
3.6016666666666644	0.23200245034921915 0.0008 0.008
3.6349999999999962	0.2204117606621999 0.0008 0.008
3.668333333333332	0.20712272005583676 0.0008 0.008
3.7016666666666644	0.1921690148894523 0.0008 0.008
3.7349999999999963	0.17473252046312962 0.0008 0.008
3.768333333333332	0.15594117445610214 0.0008 0.008
3.801666666666664	0.13587776348926758 0.0008 0.008
3.835	0.11428995896768089 0.0008 0.008
3.8683333333333323	0.0925456538745938 0.0008 0.008
3.901666666666664	0.06924100061372652 0.0008 0.008
3.9349999999999965	0.04548738637072418 0.0008 0.008
3.968333333333332	0.02057798742234219 0.0008 0.008
4.001666666666664	-0.004297653393949527 0.0008 0.008
4.035	-0.029065495284930364 0.0008 0.008
4.068333333333329	-0.054094977344089384 0.0008 0.008
4.101666666666664	-0.07849600156444095 0.0008 0.008
4.134999999999996	-0.10277107557804883 0.0008 0.008
4.168333333333332	-0.12599828137141936 0.0008 0.008
4.201666666666664	-0.1472531663668242 0.0008 0.008
4.234999999999997	-0.16823504172939382 0.0008 0.008
4.268333333333332	-0.18785712230724158 0.0008 0.008
4.301666666666664	-0.205702717863095 0.0008 0.008
4.335	-0.22281497219501448 0.0008 0.008
4.368333333333332	-0.23705531572182253 0.0008 0.008
4.401666666666665	-0.24994390797961033 0.0008 0.008
4.434999999999996	-0.2605162516826971 0.0008 0.008
4.468333333333332	-0.2689442275523821 0.0008 0.008
4.501666666666664	-0.27500698805623724 0.0008 0.008
4.535	-0.27915670609348897 0.0008 0.008
4.568333333333329	-0.2802329315329016 0.0008 0.008
4.603333333333328	-0.27980192612305255 0.0008 0.008
4.636666666666664	-0.2768002821197593 0.0008 0.008
4.669999999999996	-0.27167389633426764 0.0008 0.008
4.703333333333332	-0.26396461232675994 0.0008 0.008
4.736666666666665	-0.254157954376898 0.0008 0.008
4.769999999999996	-0.24204989639045701 0.0008 0.008
4.803333333333328	-0.22894403578725153 0.0008 0.008
4.836666666666664	-0.2133148503031443 0.0008 0.008
4.87	-0.19585650539717994 0.0008 0.008
4.903333333333332	-0.17687439069114608 0.0008 0.008
4.936666666666664	-0.15646764587552642 0.0008 0.008
4.969999999999996	-0.13453291329163547 0.0008 0.008
5.003333333333332	-0.1120235050069137 0.0008 0.008
5.036666666666664	-0.0899381084868389 0.0008 0.008
5.07	-0.06524813421222421 0.0008 0.008
5.103333333333328	-0.04124085375525874 0.0008 0.008
5.136666666666664	-0.01549781843456602 0.0008 0.008
