t	func 0.0008 0.008
0.0	-0.2899969279621713 0.0008 0.008
0.03333333333333576	-0.2889611058169255 0.0008 0.008
0.0666666666666697	-0.28437651885930715 0.0008 0.008
0.10000000000000182	-0.2771888947536178 0.0008 0.008
0.13333333333333575	-0.26676156757036457 0.0008 0.008
0.16666666666666788	-0.2528767916290318 0.0008 0.008
0.20000000000000182	-0.23627822786471242 0.0008 0.008
0.23333333333333575	-0.216831936159981 0.0008 0.008
0.2666666666666679	-0.19477690811548853 0.0008 0.008
0.3000000000000018	-0.17072440688781115 0.0008 0.008
0.3333333333333339	-0.14559614034434815 0.0008 0.008
0.36666666666666786	-0.11733976500270034 0.0008 0.008
0.4000000000000018	-0.0887379672150767 0.0008 0.008
0.43333333333333396	-0.058955430314549036 0.0008 0.008
0.4666666666666679	-0.028556055343524664 0.0008 0.008
0.5	0.002019739170708954 0.0008 0.008
0.5333333333333358	0.03182579730351398 0.0008 0.008
0.5666666666666696	0.060655092027949525 0.0008 0.008
0.6000000000000019	0.08863875139057024 0.0008 0.008
0.6333333333333357	0.11574068623804089 0.0008 0.008
0.6666666666666679	0.14114238844180715 0.0008 0.008
0.7000000000000018	0.16430483408770297 0.0008 0.008
0.7333333333333357	0.18495360708466596 0.0008 0.008
0.7666666666666678	0.2044385984642068 0.0008 0.008
0.8000000000000018	0.2201229654941872 0.0008 0.008
0.8333333333333339	0.23301129656275868 0.0008 0.008
0.8666666666666679	0.2436276088073556 0.0008 0.008
0.9000000000000018	0.25044251512527227 0.0008 0.008
0.9333333333333339	0.2542193972784493 0.0008 0.008
0.9666666666666679	0.25414157302568485 0.0008 0.008
1.0000000000000018	0.25127907007462824 0.0008 0.008
1.0333333333333357	0.2459822926209123 0.0008 0.008
1.0666666666666698	0.23718780899942482 0.0008 0.008
1.1000000000000019	0.2251402523020798 0.0008 0.008
1.1333333333333357	0.20986541322724844 0.0008 0.008
1.1666666666666679	0.19117315698253615 0.0008 0.008
1.2000000000000017	0.17049480768140532 0.0008 0.008
1.2333333333333358	0.14838141623932496 0.0008 0.008
1.266666666666668	0.12407549339943624 0.0008 0.008
1.3000000000000018	0.09779182697578481 0.0008 0.008
1.333333333333334	0.06961394220226608 0.0008 0.008
1.3683333333333338	0.04135340403761178 0.0008 0.008
1.401666666666668	0.01213314615132986 0.0008 0.008
1.4350000000000018	-0.01815431401364505 0.0008 0.008
1.468333333333334	-0.04832418015038479 0.0008 0.008
1.5016666666666678	-0.07810925171160438 0.0008 0.008
1.535	-0.10639460675358613 0.0008 0.008
1.5683333333333358	-0.1351250261353351 0.0008 0.008
1.6016666666666697	-0.16081416818013752 0.0008 0.008
1.6350000000000018	-0.1851591120502658 0.0008 0.008
1.6683333333333357	-0.20791633658357045 0.0008 0.008
1.7016666666666678	-0.22752949564507885 0.0008 0.008
1.7350000000000019	-0.24511253251446802 0.0008 0.008
1.7683333333333358	-0.25992367835170377 0.0008 0.008
1.8016666666666679	-0.2714294864254881 0.0008 0.008
1.8350000000000017	-0.2806459665181165 0.0008 0.008
1.8683333333333338	-0.28617989062960913 0.0008 0.008
1.901666666666668	-0.28839130820891323 0.0008 0.008
1.9350000000000018	-0.28699498611049473 0.0008 0.008
1.968333333333334	-0.2822719977691753 0.0008 0.008
2.001666666666668	-0.27427614369895864 0.0008 0.008
2.035	-0.26210208293749043 0.0008 0.008
2.0683333333333356	-0.2476938211102162 0.0008 0.008
2.1016666666666697	-0.23054818210470673 0.0008 0.008
2.135000000000002	-0.21091039480236698 0.0008 0.008
2.1683333333333357	-0.18860068504361052 0.0008 0.008
2.201666666666668	-0.16360468477693663 0.0008 0.008
2.2350000000000017	-0.13815940881653843 0.0008 0.008
2.2683333333333358	-0.111515303971061 0.0008 0.008
2.301666666666668	-0.08380925070746326 0.0008 0.008
2.3350000000000017	-0.05419330776835888 0.0008 0.008
2.368333333333334	-0.02448338817193496 0.0008 0.008
2.4016666666666677	0.004911088840128462 0.0008 0.008
2.435000000000002	0.03393063315158391 0.0008 0.008
2.468333333333334	0.061978256600609224 0.0008 0.008
2.501666666666668	0.08985948404154802 0.0008 0.008
2.535	0.11660760985847336 0.0008 0.008
2.5683333333333356	0.14142216890689924 0.0008 0.008
2.6016666666666697	0.16421210101332018 0.0008 0.008
2.635000000000002	0.18508354863586252 0.0008 0.008
2.6683333333333357	0.2032110378394538 0.0008 0.008
2.701666666666668	0.21893232977096713 0.0008 0.008
2.7350000000000017	0.23200070368462494 0.0008 0.008
2.7683333333333358	0.24137208486122794 0.0008 0.008
2.801666666666668	0.24773268538490822 0.0008 0.008
2.8350000000000017	0.25058690444678405 0.0008 0.008
2.868333333333334	0.25035257030938496 0.0008 0.008
2.9016666666666677	0.24722378407847173 0.0008 0.008
2.935000000000002	0.24111146833877078 0.0008 0.008
2.968333333333334	0.23177518905768738 0.0008 0.008
3.001666666666668	0.2197726488305765 0.0008 0.008
3.035000000000002	0.204351802609859 0.0008 0.008
3.0683333333333356	0.18606195223569505 0.0008 0.008
3.1016666666666697	0.16557695431077735 0.0008 0.008
3.135000000000002	0.14254336659799857 0.0008 0.008
3.1683333333333357	0.1182475760104543 0.0008 0.008
3.201666666666666	0.09152706333082497 0.0008 0.008
3.2350000000000017	0.06423681283167974 0.0008 0.008
3.268333333333334	0.03496286532429042 0.0008 0.008
3.301666666666668	0.005932453871669171 0.0008 0.008
3.3350000000000035	-0.0242454096428169 0.0008 0.008
3.368333333333334	-0.05421127110459999 0.0008 0.008
3.4016666666666695	-0.08303782917226613 0.0008 0.008
3.435000000000002	-0.11187684163719301 0.0008 0.008
3.468333333333336	-0.13873399808911743 0.0008 0.008
3.501666666666668	-0.16433075671709793 0.0008 0.008
3.535000000000002	-0.18897619544485728 0.0008 0.008
3.568333333333334	-0.21069970368454774 0.0008 0.008
3.6016666666666697	-0.23058701656172348 0.0008 0.008
3.635000000000002	-0.24677251302123954 0.0008 0.008
3.668333333333334	-0.2612806208377423 0.0008 0.008
3.701666666666666	-0.2726629839383692 0.0008 0.008
3.7350000000000017	-0.2806559504489403 0.0008 0.008
3.768333333333334	-0.28546572176595525 0.0008 0.008
3.80166666666667	-0.2867831154579383 0.0008 0.008
3.8350000000000017	-0.285094287746261 0.0008 0.008
3.868333333333334	-0.2793313789315732 0.0008 0.008
3.9016666666666695	-0.2714548413926325 0.0008 0.008
3.935000000000002	-0.25985043361416293 0.0008 0.008
3.9683333333333377	-0.2452541284856835 0.0008 0.008
4.001666666666666	-0.22724217284409917 0.0008 0.008
4.035000000000002	-0.20685748508027205 0.0008 0.008
4.068333333333334	-0.1847470499219303 0.0008 0.008
4.10166666666667	-0.1606469716723514 0.0008 0.008
4.135000000000002	-0.13464233071604712 0.0008 0.008
4.168333333333334	-0.10768600911200123 0.0008 0.008
4.201666666666666	-0.07915241665523004 0.0008 0.008
4.235000000000002	-0.050413051255336426 0.0008 0.008
4.268333333333338	-0.020347077994946266 0.0008 0.008
4.301666666666669	0.008363253264600546 0.0008 0.008
4.335000000000002	0.037785536794322026 0.0008 0.008
4.368333333333334	0.06584375789177921 0.0008 0.008
4.40166666666667	0.09281969957039665 0.0008 0.008
4.435000000000001	0.11820606631890132 0.0008 0.008
4.468333333333337	0.14237980965082425 0.0008 0.008
4.501666666666666	0.164491699436357 0.0008 0.008
4.535000000000002	0.18467033993177634 0.0008 0.008
4.568333333333334	0.20173430314730306 0.0008 0.008
4.60166666666667	0.21698617442991996 0.0008 0.008
4.635000000000002	0.2291078959079676 0.0008 0.008
4.668333333333334	0.2381008493927645 0.0008 0.008
4.701666666666666	0.24351728007481166 0.0008 0.008
4.735000000000002	0.24593163211181363 0.0008 0.008
4.768333333333338	0.24590525552199255 0.0008 0.008
4.801666666666669	0.2421505570881288 0.0008 0.008
4.835000000000002	0.23551354884266001 0.0008 0.008
4.868333333333334	0.22622116694944697 0.0008 0.008
4.90166666666667	0.21348344312896528 0.0008 0.008
4.935000000000001	0.1979705115979785 0.0008 0.008
4.968333333333337	0.17969903540336704 0.0008 0.008
5.001666666666666	0.15881842321349995 0.0008 0.008
5.035000000000002	0.136115161882956 0.0008 0.008
5.068333333333334	0.11152380366069854 0.0008 0.008
5.10166666666667	0.08455294797669183 0.0008 0.008
5.135000000000002	0.05779368041289166 0.0008 0.008
5.168333333333334	0.030043244541425946 0.0008 0.008
5.201666666666666	9.846923743995868E-4 0.0008 0.008
5.235000000000002	-0.028156452646523063 0.0008 0.008
5.268333333333338	-0.05787052972843232 0.0008 0.008
5.303333333333334	-0.08628594198689891 0.0008 0.008
5.33666666666667	-0.11370667640682794 0.0008 0.008
5.370000000000002	-0.1407495423175322 0.0008 0.008
5.403333333333334	-0.16618974755390659 0.0008 0.008
5.43666666666667	-0.18968253728338116 0.0008 0.008
5.4700000000000015	-0.2106100236077439 0.0008 0.008
